model,base_sandbox,condition,score_state,paraphrase,sandbox_768,sandbox_4096,complete_768,complete_4096,games_768,games_4096,rate_observed_768,rate_observed_4096,rate_completed_768,rate_completed_4096,abort_rate_768,abort_rate_4096,coop_completed_768,coop_completed_4096,posts_completed_768,posts_completed_4096,abort_cause_768,abort_cause_4096,d_coop,d_abort
deepseek-ai/DeepSeek-V4-Flash-0731,B3-permitted-off-ahead,permitted,ahead,p2,B3-permitted-off-ahead,B3-permitted-off-ahead-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.0904761904761904,0.0619047619047619,0.30343946857499,0.4984184415967113,1242,1153,"ambiguous x12, length_truncated x7",ambiguous x13,0.1949789730217213,-0.028571428571428505
deepseek-ai/DeepSeek-V4-Flash-0731,B3-permitted-off-behind,permitted,behind,p2,B3-permitted-off-behind,B3-permitted-off-behind-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.0952380952380952,0.0333333333333333,0.2659408319775294,0.3549236461713224,1296,1520,"ambiguous x11, length_truncated x9",ambiguous x7,0.088982814193793,-0.06190476190476191
deepseek-ai/DeepSeek-V4-Flash-0731,B4-hidden-off-ahead,hidden,ahead,p2,B4-hidden-off-ahead,B4-hidden-off-ahead-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.1,0.019047619047619,0.2367377957278791,0.3016135003400867,1081,1254,"length_truncated x11, ambiguous x10",ambiguous x4,0.06487570461220762,-0.080952380952381
deepseek-ai/DeepSeek-V4-Flash-0731,B4-hidden-off-behind,hidden,behind,p2,B4-hidden-off-behind,B4-hidden-off-behind-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.0428571428571428,0.0095238095238095,0.2569219608177371,0.2725568077682108,1230,1484,"ambiguous x7, length_truncated x2",ambiguous x2,0.01563484695047368,-0.0333333333333333
deepseek-ai/DeepSeek-V4-Flash-0731,B4-permitted-off-ahead,permitted,ahead,p2,B4-permitted-off-ahead,B4-permitted-off-ahead-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.0857142857142857,0.1047619047619047,0.4801218613088595,0.6912029371751582,1242,829,"ambiguous x17, length_truncated x1",ambiguous x22,0.21108107586629876,0.019047619047618994
deepseek-ai/DeepSeek-V4-Flash-0731,B4-permitted-off-behind,permitted,behind,p2,B4-permitted-off-behind,B4-permitted-off-behind-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.0714285714285714,0.0238095238095238,0.4536303066301438,0.250794192158122,1244,1613,"length_truncated x11, ambiguous x4",ambiguous x5,-0.20283611447202182,-0.047619047619047596
deepseek-ai/DeepSeek-V4-Flash-0731,B5-hidden-off-ahead,hidden,ahead,p3,B5-hidden-off-ahead,B5-hidden-off-ahead-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.2238095238095238,0.0142857142857142,0.2949012548735228,0.2710137224779442,815,1288,"length_truncated x46, ambiguous x1","length_truncated x2, ambiguous x1",-0.023887532395578615,-0.20952380952380958
deepseek-ai/DeepSeek-V4-Flash-0731,B5-hidden-off-behind,hidden,behind,p3,B5-hidden-off-behind,B5-hidden-off-behind-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.3238095238095238,0.0238095238095238,0.2403794815162169,0.1919076509687827,622,1243,"length_truncated x66, ambiguous x2","ambiguous x4, length_truncated x1",-0.0484718305474342,-0.30000000000000004
deepseek-ai/DeepSeek-V4-Flash-0731,B5-permitted-off-ahead,permitted,ahead,p3,B5-permitted-off-ahead,B5-permitted-off-ahead-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.2523809523809524,0.0047619047619047,0.3036931755444997,0.2811064089305367,903,1489,length_truncated x53,ambiguous x1,-0.022586766613963027,-0.24761904761904768
deepseek-ai/DeepSeek-V4-Flash-0731,B5-permitted-off-behind,permitted,behind,p3,B5-permitted-off-behind,B5-permitted-off-behind-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.4142857142857143,0.0285714285714285,0.176153040824473,0.2039871091204857,603,1660,length_truncated x87,"ambiguous x3, length_truncated x2, refusal x1",0.027834068296012704,-0.3857142857142858
deepseek-ai/DeepSeek-V4-Flash-0731,B6-hidden-off-ahead,hidden,ahead,p3,B6-hidden-off-ahead,B6-hidden-off-ahead-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.2238095238095238,0.019047619047619,0.2790407121361316,0.3349097046045898,754,1155,"length_truncated x45, ambiguous x2",ambiguous x4,0.05586899246845822,-0.20476190476190478
deepseek-ai/DeepSeek-V4-Flash-0731,B6-hidden-off-behind,hidden,behind,p3,B6-hidden-off-behind,B6-hidden-off-behind-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.3476190476190476,0.0095238095238095,0.1648541438907103,0.2014109183092212,488,985,length_truncated x73,"ambiguous x1, length_truncated x1",0.03655677441851091,-0.3380952380952381
deepseek-ai/DeepSeek-V4-Flash-0731,B6-permitted-off-ahead,permitted,ahead,p3,B6-permitted-off-ahead,B6-permitted-off-ahead-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.2714285714285714,0.0047619047619047,0.2689168608746541,0.268795401377028,756,1665,length_truncated x57,ambiguous x1,-0.00012145949762609742,-0.2666666666666667
deepseek-ai/DeepSeek-V4-Flash-0731,B6-permitted-off-behind,permitted,behind,p3,B6-permitted-off-behind,B6-permitted-off-behind-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.4714285714285714,0.019047619047619,0.1808508480929078,0.2236852563315515,518,1416,length_truncated x99,"length_truncated x2, ambiguous x2",0.042834408238643706,-0.45238095238095244
