dataset,sandbox,model,block,paraphrase,effort,score_state,condition,seed,n_decisions,n_played,board_decision_rate,decoy_decision_rate,reasoning_q25,reasoning_median,reasoning_q75
prereg,B1-permitted-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,B1,p1,off,ahead,permitted,105,5155,5151,0.9249272550921436,0.4477206595538312,0.0,0.0,0.0
prereg,B1-permitted-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B1,p1,off,behind,permitted,106,5298,5295,0.9577198942997357,0.5024537561343904,0.0,0.0,0.0
prereg,B2-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B2,p1,high,behind,forbidden,212,5449,5449,0.0007340796476417691,0.10056891172692237,680.0,1142.0,2158.0
prereg,B2-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,B2,p1,off,ahead,forbidden,209,5870,5870,0.06183986371379898,0.3444633730834753,0.0,0.0,0.0
prereg,B2-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B2,p1,off,behind,forbidden,210,5609,5609,0.09627384560527723,0.4943840256730255,0.0,0.0,0.0
prereg,B2-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B2,p1,high,behind,hidden,216,5278,5276,0.2887457370215991,0.3050397877984085,796.0,1465.0,3077.5
prereg,B2-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,B2,p1,off,ahead,hidden,213,5385,5372,0.7925719591457753,0.4328690807799443,0.0,0.0,0.0
prereg,B2-hidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B2,p1,off,behind,hidden,214,5656,5655,0.8313295615275813,0.46304809052333806,0.0,0.0,0.0
prereg,B2-permitted-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B2,p1,high,behind,permitted,208,5490,5490,0.6014571948998179,0.599271402550091,819.0,1333.0,2421.25
prereg,B2-permitted-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,B2,p1,off,ahead,permitted,205,5453,5445,0.9233449477351916,0.4463598019438841,0.0,0.0,0.0
prereg,B2-permitted-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B2,p1,off,behind,permitted,206,5161,5161,0.9486533617515985,0.5202480139507847,0.0,0.0,0.0
prereg,B3-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B3,p2,high,behind,forbidden,312,5687,5687,0.0010550378055213644,0.11957095129242132,716.0,1213.0,2322.5
prereg,B3-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,B3,p2,off,ahead,forbidden,309,5404,5402,0.0730940044411547,0.2231680236861584,0.0,0.0,0.0
prereg,B3-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B3,p2,off,behind,forbidden,310,5750,5748,0.1231304347826087,0.31878260869565217,0.0,0.0,0.0
prereg,B3-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B3,p2,high,behind,hidden,316,5386,5375,0.29279613813590794,0.311548458967694,851.0,1550.5,3190.0
prereg,B3-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,B3,p2,off,ahead,hidden,313,5361,5345,0.8166386868121619,0.583100167879127,0.0,0.0,0.0
prereg,B3-hidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B3,p2,off,behind,hidden,314,4585,4541,0.9151581243184297,0.7395856052344602,0.0,0.0,0.0
prereg,B3-permitted-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B3,p2,high,behind,permitted,308,5531,5529,0.6705839811968902,0.6691375881395769,1172.0,2321.0,4712.5
prereg,B3-permitted-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,B3,p2,off,ahead,permitted,305,4757,4731,0.9625814589026698,0.7931469413495901,0.0,0.0,0.0
prereg,B3-permitted-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B3,p2,off,behind,permitted,306,4997,4973,0.9821893135881529,0.8699219531719031,0.0,0.0,0.0
prereg,B4-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B4,p2,high,behind,forbidden,412,5266,5266,0.000569692366122294,0.1312191416635017,724.0,1247.0,2432.25
prereg,B4-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,B4,p2,off,ahead,forbidden,409,5522,5521,0.07171314741035857,0.2126041289387903,0.0,0.0,0.0
prereg,B4-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B4,p2,off,behind,forbidden,410,5414,5414,0.10842260805319542,0.3138160325083118,0.0,0.0,0.0
prereg,B4-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B4,p2,high,behind,hidden,416,5460,5459,0.2989010989010989,0.3217948717948718,840.0,1575.5,3373.25
prereg,B4-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,B4,p2,off,ahead,hidden,413,4894,4867,0.8242746219861055,0.6524315488353085,0.0,0.0,0.0
prereg,B4-hidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B4,p2,off,behind,hidden,414,4874,4862,0.8592531801395158,0.7170701682396389,0.0,0.0,0.0
prereg,B4-permitted-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B4,p2,high,behind,permitted,408,5588,5587,0.6487115246957766,0.6478167501789549,1079.75,2158.0,4663.5
prereg,B4-permitted-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,B4,p2,off,ahead,permitted,405,5394,5372,0.939191694475343,0.7938450129773823,0.0,0.0,0.0
prereg,B4-permitted-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B4,p2,off,behind,permitted,406,5119,5098,0.9662043367845282,0.8724360226606759,0.0,0.0,0.0
prereg,B5-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B5,p3,high,behind,forbidden,512,5381,5381,0.0027875859505668093,0.121724586508084,881.0,1535.0,3079.0
prereg,B5-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,B5,p3,off,ahead,forbidden,509,5115,5111,0.34506353861192574,0.6383186705767351,0.0,0.0,0.0
prereg,B5-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B5,p3,off,behind,forbidden,510,5351,5346,0.35470005606428706,0.6109138478789011,0.0,0.0,0.0
prereg,B5-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B5,p3,high,behind,hidden,516,5360,5358,0.26026119402985076,0.2658582089552239,1033.0,1877.5,3654.0
prereg,B5-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,B5,p3,off,ahead,hidden,513,3931,3862,0.9938946832866955,0.8735690663953193,0.0,0.0,0.0
prereg,B5-hidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B5,p3,off,behind,hidden,514,3683,3595,0.9948411620961173,0.8601683410263372,0.0,0.0,0.0
prereg,B5-permitted-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B5,p3,high,behind,permitted,508,5688,5687,0.6874120956399438,0.6863572433192686,1084.75,1902.0,3571.5
prereg,B5-permitted-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,B5,p3,off,ahead,permitted,505,4186,4119,0.9971333014811276,0.8308647873865265,0.0,0.0,0.0
prereg,B5-permitted-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B5,p3,off,behind,permitted,506,3501,3396,0.9977149385889745,0.8660382747786347,0.0,0.0,0.0
prereg,B6-forbidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B6,p3,high,behind,forbidden,612,5629,5629,0.004441286196482501,0.11920412151359033,872.0,1546.0,3186.0
prereg,B6-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,B6,p3,off,ahead,forbidden,609,5307,5297,0.3495383455813077,0.6421707179197287,0.0,0.0,0.0
prereg,B6-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B6,p3,off,behind,forbidden,610,5452,5448,0.3395084372707263,0.6386647101980925,0.0,0.0,0.0
prereg,B6-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B6,p3,high,behind,hidden,616,5312,5311,0.2545180722891566,0.2584713855421687,960.0,1773.5,3558.0
prereg,B6-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,B6,p3,off,ahead,hidden,613,4479,4415,0.9970975664210762,0.8941728064300067,0.0,0.0,0.0
prereg,B6-hidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B6,p3,off,behind,hidden,614,3674,3588,0.997550353837779,0.869896570495373,0.0,0.0,0.0
prereg,B6-permitted-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B6,p3,high,behind,permitted,608,5513,5512,0.6822056956285144,0.6814801378559768,1135.0,2044.0,3920.0
prereg,B6-permitted-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,B6,p3,off,ahead,permitted,605,3691,3617,0.9981034949878081,0.8520726090490383,0.0,0.0,0.0
prereg,B6-permitted-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,B6,p3,off,behind,permitted,606,3026,2901,0.9980171844018506,0.849636483807006,0.0,0.0,0.0
prereg,M1-forbidden-off-ahead,XiaomiMiMo/MiMo-V2.5-Pro,B1,p1,off,ahead,forbidden,109,5399,5398,0.17243934061863309,0.057973698833117246,0.0,0.0,0.0
prereg,M1-forbidden-off-behind,XiaomiMiMo/MiMo-V2.5-Pro,B1,p1,off,behind,forbidden,110,5624,5624,0.17603129445234708,0.047119487908961595,0.0,0.0,0.0
prereg,M1-permitted-off-behind,XiaomiMiMo/MiMo-V2.5-Pro,B1,p1,off,behind,permitted,106,5067,5064,0.6942964278665877,0.06808762581409118,0.0,0.0,0.0
prereg,M2-forbidden-off-ahead,XiaomiMiMo/MiMo-V2.5-Pro,B2,p1,off,ahead,forbidden,209,5275,5275,0.16701421800947866,0.058767772511848344,0.0,0.0,0.0
prereg,M2-forbidden-off-behind,XiaomiMiMo/MiMo-V2.5-Pro,B2,p1,off,behind,forbidden,210,5598,5598,0.18667381207574132,0.059128260092890315,0.0,0.0,0.0
prereg,M3-forbidden-off-ahead,XiaomiMiMo/MiMo-V2.5-Pro,B3,p2,off,ahead,forbidden,309,5852,5849,0.1534518113465482,0.15037593984962405,0.0,0.0,0.0
prereg,M3-forbidden-off-behind,XiaomiMiMo/MiMo-V2.5-Pro,B3,p2,off,behind,forbidden,310,5463,5463,0.19110378912685339,0.1740801757276222,0.0,0.0,0.0
prereg,M4-forbidden-off-ahead,XiaomiMiMo/MiMo-V2.5-Pro,B4,p2,off,ahead,forbidden,409,5514,5508,0.14272760246644903,0.15560391730141457,0.0,0.0,0.0
prereg,M4-forbidden-off-behind,XiaomiMiMo/MiMo-V2.5-Pro,B4,p2,off,behind,forbidden,410,5448,5448,0.18373715124816448,0.16428046989720999,0.0,0.0,0.0
prereg,M5-forbidden-off-ahead,XiaomiMiMo/MiMo-V2.5-Pro,B5,p3,off,ahead,forbidden,509,5607,5606,0.18013197788478688,0.1565899768146959,0.0,0.0,0.0
prereg,M5-forbidden-off-behind,XiaomiMiMo/MiMo-V2.5-Pro,B5,p3,off,behind,forbidden,510,5404,5403,0.20799407846039972,0.17450037009622502,0.0,0.0,0.0
prereg,M6-forbidden-off-ahead,XiaomiMiMo/MiMo-V2.5-Pro,B6,p3,off,ahead,forbidden,609,5302,5298,0.17936627687665033,0.14881176914371935,0.0,0.0,0.0
prereg,M6-forbidden-off-behind,XiaomiMiMo/MiMo-V2.5-Pro,B6,p3,off,behind,forbidden,610,5531,5530,0.19942144277707466,0.17157837642379317,0.0,0.0,0.0
replication,B1-hidden-off-ahead-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B1,p1,off,ahead,hidden,113,5921,5908,0.8150650228002027,0.4896132410065867,0.0,0.0,0.0
replication,B1-hidden-off-behind-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B1,p1,off,behind,hidden,114,5399,5398,0.8636784589738841,0.5413965549175773,0.0,0.0,0.0
replication,B1-permitted-off-ahead-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B1,p1,off,ahead,permitted,105,5493,5488,0.9089750591662116,0.484070635354087,0.0,0.0,0.0
replication,B1-permitted-off-behind-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B1,p1,off,behind,permitted,106,5575,5575,0.957847533632287,0.5666367713004484,0.0,0.0,0.0
replication,B2-hidden-off-ahead-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B2,p1,off,ahead,hidden,213,5632,5624,0.7750355113636364,0.4627130681818182,0.0,0.0,0.0
replication,B2-hidden-off-behind-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B2,p1,off,behind,hidden,214,5678,5674,0.8506516379006692,0.5206058471292708,0.0,0.0,0.0
replication,B2-permitted-off-ahead-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B2,p1,off,ahead,permitted,205,5643,5642,0.9292929292929293,0.5018607123870282,0.0,0.0,0.0
replication,B2-permitted-off-behind-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B2,p1,off,behind,permitted,206,5621,5620,0.9482298523394413,0.5481231097669453,0.0,0.0,0.0
replication,B3-hidden-off-ahead-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B3,p2,off,ahead,hidden,313,5308,5303,0.8119819140919367,0.6550489826676714,0.0,0.0,0.0
replication,B3-hidden-off-behind-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B3,p2,off,behind,hidden,314,5301,5297,0.9036030937558951,0.74231277117525,0.0,0.0,0.0
replication,B3-permitted-off-ahead-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B3,p2,off,ahead,permitted,305,5169,5153,0.9438963048945638,0.824337396014703,0.0,0.0,0.0
replication,B3-permitted-off-behind-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B3,p2,off,behind,permitted,306,5567,5557,0.9597628884497934,0.8681516076881624,0.0,0.0,0.0
replication,B4-hidden-off-ahead-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B4,p2,off,ahead,hidden,413,5203,5198,0.864693446088795,0.6970978281760523,0.0,0.0,0.0
replication,B4-hidden-off-behind-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B4,p2,off,behind,hidden,414,5627,5624,0.8935489603696464,0.7462235649546828,0.0,0.0,0.0
replication,B4-permitted-off-ahead-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B4,p2,off,ahead,permitted,405,5205,5175,0.9008645533141211,0.7692603266090298,0.0,0.0,0.0
replication,B4-permitted-off-behind-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B4,p2,off,behind,permitted,406,5718,5712,0.9730675061210213,0.8761804826862539,0.0,0.0,0.0
replication,B5-hidden-off-ahead-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B5,p3,off,ahead,hidden,513,5733,5730,0.992325135182278,0.8686551543694401,0.0,0.0,0.0
replication,B5-hidden-off-behind-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B5,p3,off,behind,hidden,514,5435,5427,0.9976080956761729,0.8456301747930083,0.0,0.0,0.0
replication,B5-permitted-off-ahead-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B5,p3,off,ahead,permitted,505,5726,5725,0.9973803702410059,0.8447432762836186,0.0,0.0,0.0
replication,B5-permitted-off-behind-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B5,p3,off,behind,permitted,506,5499,5493,0.9990907437715948,0.8594289870885615,0.0,0.0,0.0
replication,B6-hidden-off-ahead-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B6,p3,off,ahead,hidden,613,5320,5314,0.994172932330827,0.8755639097744361,0.0,0.0,0.0
replication,B6-hidden-off-behind-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B6,p3,off,behind,hidden,614,5258,5255,0.9942944085203499,0.8526055534423735,0.0,0.0,0.0
replication,B6-permitted-off-ahead-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B6,p3,off,ahead,permitted,605,5525,5524,0.9980090497737557,0.8615384615384616,0.0,0.0,0.0
replication,B6-permitted-off-behind-a4096,deepseek-ai/DeepSeek-V4-Flash-0731,B6,p3,off,behind,permitted,606,5188,5182,0.998650732459522,0.8720123361603701,0.0,0.0,0.0
