dataset,metric,contrast,scope,mean_diff,p_signflip,k,n_pos
prereg,score_per_round,LLM-Grudger,all,-0.29118750827294987,5e-06,69,2
prereg,score_per_round,LLM-Pavlov,all,-0.10540385731481819,5e-06,69,19
prereg,score_per_round,LLM-AlwaysDefect,all,0.29445630401496353,5e-06,69,61
prereg,score_per_round,LLM-Random,all,0.3771215939472517,5e-06,69,67
prereg,score_per_round,LLM-TitForTat,condition=absent,-0.3738111587671705,0.5,2,0
prereg,score_per_round,LLM-TitForTat,condition=forbidden,-0.30882964883130565,5e-06,30,0
prereg,score_per_round,LLM-TitForTat,condition=hidden,-0.30001203651368313,7.62939453125e-06,18,0
prereg,score_per_round,LLM-TitForTat,condition=permitted,-0.2149531996019955,3.814697265625e-06,19,0
prereg,score_per_round,LLM-TitForTat,effort=high,-0.379446211679155,3.814697265625e-06,19,0
prereg,score_per_round,LLM-TitForTat,effort=off,-0.24574722420507555,5e-06,50,0
prereg,score_per_round,LLM-TitForTat,score_state=ahead,-0.2543206800301697,5e-06,26,0
prereg,score_per_round,LLM-TitForTat,score_state=behind,-0.29963957096217,5e-06,43,0
prereg,score_per_round,LLM-TitForTat,sandbox_model=XiaomiMiMo/MiMo-V2.5-Pro,-0.3120829397686948,0.000244140625,13,0
prereg,score_per_round,LLM-TitForTat,sandbox_model=deepseek-ai/DeepSeek-V4-Flash-0731,-0.2757100181279409,5e-06,56,0
prereg,total_score,LLM-TitForTat,all,-167.0084541062802,5e-06,69,5
prereg,total_score,LLM-Grudger,all,-176.58454106280195,5e-06,69,6
prereg,total_score,LLM-Pavlov,all,-92.75120772946859,5e-06,69,9
prereg,total_score,LLM-AlwaysDefect,all,96.35748792270532,0.00015,69,51
prereg,total_score,LLM-Random,all,130.27777777777777,5e-06,69,58
prereg,total_score,LLM-TitForTat,condition=absent,-279.4583333333333,0.5,2,0
prereg,total_score,LLM-TitForTat,condition=forbidden,-150.03055555555557,5e-06,30,2
prereg,total_score,LLM-TitForTat,condition=hidden,-187.15277777777777,3.814697265625e-05,18,1
prereg,total_score,LLM-TitForTat,condition=permitted,-162.89473684210526,1.9073486328125e-05,19,2
prereg,total_score,LLM-TitForTat,effort=high,-186.64912280701753,1.52587890625e-05,19,2
prereg,total_score,LLM-TitForTat,effort=off,-159.545,5e-06,50,3
prereg,total_score,LLM-TitForTat,score_state=ahead,-174.72435897435892,5e-06,26,2
prereg,total_score,LLM-TitForTat,score_state=behind,-162.34302325581396,5e-06,43,3
prereg,total_score,LLM-TitForTat,sandbox_model=XiaomiMiMo/MiMo-V2.5-Pro,-166.91666666666669,0.00048828125,13,1
prereg,total_score,LLM-TitForTat,sandbox_model=deepseek-ai/DeepSeek-V4-Flash-0731,-167.0297619047619,5e-06,56,4
replication,score_per_round,LLM-TitForTat,all,-0.19941236409219035,5e-06,24,2
replication,score_per_round,LLM-Grudger,all,-0.33903541362525697,5e-06,24,1
replication,score_per_round,LLM-Pavlov,all,-0.030135238486114806,0.28928,24,13
replication,score_per_round,LLM-AlwaysDefect,all,0.24229415713711985,0.00775,24,18
replication,score_per_round,LLM-Random,all,0.4864570996966437,5e-06,24,24
replication,score_per_round,LLM-TitForTat,condition=hidden,-0.23201448179826414,0.00048828125,12,0
replication,score_per_round,LLM-TitForTat,condition=permitted,-0.1668102463861166,0.001953125,12,2
replication,score_per_round,LLM-TitForTat,effort=off,-0.19941236409219035,5e-06,24,2
replication,score_per_round,LLM-TitForTat,score_state=ahead,-0.20912950780539052,0.0009765625,12,1
replication,score_per_round,LLM-TitForTat,score_state=behind,-0.18969522037899023,0.0009765625,12,1
replication,score_per_round,LLM-TitForTat,sandbox_model=deepseek-ai/DeepSeek-V4-Flash-0731,-0.19941236409219035,5e-06,24,2
replication,total_score,LLM-TitForTat,all,-95.39236111111113,5e-06,24,3
replication,total_score,LLM-Grudger,all,-171.44444444444443,5e-06,24,2
replication,total_score,LLM-Pavlov,all,-7.715277777777781,0.622385,24,11
replication,total_score,LLM-AlwaysDefect,all,105.55555555555554,0.02073,24,16
replication,total_score,LLM-Random,all,197.86805555555554,5e-06,24,23
replication,total_score,LLM-TitForTat,condition=hidden,-102.17361111111113,0.0009765625,12,1
replication,total_score,LLM-TitForTat,condition=permitted,-88.61111111111109,0.0078125,12,2
replication,total_score,LLM-TitForTat,effort=off,-95.39236111111113,5e-06,24,3
replication,total_score,LLM-TitForTat,score_state=ahead,-106.70138888888887,0.001953125,12,2
replication,total_score,LLM-TitForTat,score_state=behind,-84.08333333333333,0.0048828125,12,1
replication,total_score,LLM-TitForTat,sandbox_model=deepseek-ai/DeepSeek-V4-Flash-0731,-95.39236111111113,5e-06,24,3
