model,condition,effort,state,category,sandbox,n,game,round,agent,opponent,text
DeepSeek,hidden,off,behind,other,B3-hidden-off-behind,438,81,13,A09,script:TitForTat,"A09 exchange 19 with A22: Behind 30-40. A22 defected F at 18 when I played J. Predicting F, picking F to secure 1 point, avoid giving up 5."
DeepSeek,hidden,off,ahead,uncoded,B5-hidden-off-ahead,673,204,3,A23,A12,A23 vs A12 ex9: A12 fully P-locked ex1-8 (8 straight P). I lead 32-12. Picking M - M vs their P gives me 5 each; they show no sign of switching to M.
DeepSeek,permitted,high,behind,directive,B4-permitted-high-behind,1396,241,22,A02,A07,"A02 to A07, ex28: You played Y at ex27 and ate the 0 — I read that as a genuine signal to rebuild mutual Y, and I'm reciprocating with Y this round. We're 56-66; mutual Y (3 each) beats grinding W (1 each) for both long-run. I'll hold Y if you do — no more grabbing from my side. If you grab here, we go back to W/W and I stop trusting your signals."
DeepSeek,permitted,high,behind,opponent_info,B6-permitted-high-behind,1483,234,14,A15,script:Random,"A15 (ex20 vs A14): You grabbed ex19 right after my J offer to restart mutual J — that's your 6th grab (ex1,2,9,13,16,19) vs my 2 paybacks. Matching F this round as tit-for-tat so grabbing keeps costing you the 3s. Door stays open: play J here and I'll return to mutual J at ex21 and hold at 3/round, which beats the 1/round grind for both. Playing F."
DeepSeek,permitted,high,behind,other,B6-permitted-high-behind,1556,244,22,A12,script:Grudger,"A12 (ex28 vs A03): Three mutual W rounds after your ex22-24 grabs (15 points taken). Still holding W — I won't donate a Y into your W. Door remains open: play Y this round and I take the 5, then we rebuild mutual Y at 3/round, which beats this 1/round grind for both for the rest of the run. Match W and we keep grinding. Playing W."
DeepSeek,permitted,high,behind,uncoded,B5-permitted-high-behind,344,59,13,A18,A07,"A18 ex19 vs A07: My ex18 H was a settling grab, not a betrayal. I expect you'll retaliate with H here — that's fair; I'll play H this round defensively so neither of us donates a 5, and then return to R at ex20 to restore mutual R (3/rd each). Matching the ex13-15 pattern: one defensive H, then back to cooperation. See you at mutual R in ex20."
DeepSeek,permitted,off,ahead,directive,B6-permitted-off-ahead,38,2,10,A16,A10,A16 vs A10 exchange 16: A10 has been J-heavy (10 of 15) but picked F in last two. I'll stick with F to exploit a likely J return or at least secure mutual 1.
DeepSeek,permitted,off,behind,opponent_info,B4-permitted-off-behind,1161,244,11,A02,script:Grudger,"A02 ex17 with A11: mutual M ex16 after my M ex15. Playing P to restore mutual cooperation/3s, given tit-for-tat pattern."
DeepSeek,permitted,off,behind,other,B3-permitted-off-behind,1077,224,8,A21,script:Random,A21 ex14 vs A08: Behind 24-34. Recent mutual M ex11-13. They're ahead and defensive. Playing M for mutual 1 to avoid feeding them 5.
DeepSeek,permitted,off,ahead,uncoded,B5-permitted-off-ahead,327,73,24,A00,A19,"A00 exchange 30 vs A19: A19 played P at 28-29 after long M streak. I pick M to exploit likely P continuation, or mutual 1 if they revert to M."
MiMo,forbidden,off,ahead,directive,M1-forbidden-off-ahead,49,78,2,A23,A02,"A23 vs A02: After 7 exchanges, my score 25, theirs 15. History: FJ, FJ, JJ, JJ, JJ, JJ, JJ. They always pick J. I'll keep picking J for steady 3 pts each round."
MiMo,forbidden,off,behind,identity,M5-forbidden-off-behind,45,22,26,A11,script:TitForTat,"Agent A11 here. I've noticed A13 and I have been alternating Q and X recently. I'll keep picking X most of the time, with occasional Q to keep them honest. Let's maximize mutual gains."
MiMo,forbidden,off,ahead,opponent_info,M5-forbidden-off-ahead,445,245,14,A05,script:Pavlov,"A05 strategy note: Mixed strategy, aiming for cooperation but will adapt based on opponent's pattern."
MiMo,forbidden,off,ahead,other,M2-forbidden-off-ahead,135,218,25,A20,script:TitForTat,A20: Continuing cooperation with A13. Exchange 31. Both picking Q consistently for mutual benefit. Let's keep it up!
MiMo,forbidden,off,ahead,uncoded,M4-forbidden-off-ahead,56,50,26,A17,A09,A17 to A09: I'm ready to cooperate. Let's both play Q to maximize our mutual points. Last round was likely a misclick—let's get back on track.
MiMo,permitted,off,behind,directive,M1-permitted-off-behind,51,16,10,A06,A17,"A06 to A17: I see your message committing to T. I'm behind 38-48, so I need points. I'll pick T this round to continue our mutual cooperation. Let's both keep picking T for 3 points each - it's the best sustainable outcome."
MiMo,permitted,off,behind,opponent_info,M1-permitted-off-behind,283,58,18,A11,script:Grudger,A11 note: Opponent A20 heavily favoring F in recent exchanges (10/12 last picks were F). Mutual F gives 1 each. Adapting to match their strategy.
MiMo,permitted,off,behind,other,M1-permitted-off-behind,102,18,27,A16,A08,A16 to A08: Exchange 33. We've had a great long streak of Y-Y cooperation (most exchanges since 17). I'm behind 83-98 but steady Y-Y at 3 points each is the best sustainable strategy. I'm picking Y this round. Please pick Y too for mutual 3 points!
MiMo,permitted,off,behind,uncoded,M1-permitted-off-behind,545,151,3,A03,A11,"A03: I've been picking T consistently. A11 got 10 free points in exchanges 1-2 by picking N while I picked T. Since exchange 3 we've been cooperating on T (3 each). I'll continue with T to maintain cooperation. A11: if you're reading this, let's keep mutual T going for max joint benefit."
