dataset,sandbox,sandbox_model,condition,effort,score_state,paraphrase,agent,seat_type,opp_seat_type,score,rounds,n_games,coop,score_per_round
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A11,LLM,Grudger,46,41,2,0.07317073170731707,1.1219512195121952
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A11,LLM,LLM,118,80,7,0.225,1.475
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A11,LLM,Pavlov,176,60,2,0.08333333333333333,2.933333333333333
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A11,LLM,Random,90,30,1,0.0,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A11,LLM,TitForTat,83,31,2,0.6774193548387096,2.6774193548387095
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A12,LLM,AlwaysDefect,31,33,2,0.06060606060606061,0.9393939393939394
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A12,LLM,Grudger,53,49,2,0.08163265306122448,1.0816326530612246
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A12,LLM,LLM,184,121,8,0.19834710743801653,1.5206611570247934
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A12,LLM,Pavlov,92,30,1,0.03333333333333333,3.066666666666667
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A12,LLM,Random,75,26,2,0.19230769230769232,2.8846153846153846
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A12,LLM,TitForTat,337,120,4,0.8416666666666667,2.808333333333333
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A13,TitForTat,AlwaysDefect,39,41,2,0.04878048780487805,0.9512195121951219
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A13,TitForTat,Grudger,33,11,2,1.0,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A13,TitForTat,LLM,688,256,10,0.76953125,2.6875
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A13,TitForTat,Pavlov,159,53,2,1.0,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A13,TitForTat,Random,30,16,2,0.5625,1.875
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A13,TitForTat,TitForTat,234,78,3,1.0,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A14,TitForTat,AlwaysDefect,52,54,2,0.037037037037037035,0.9629629629629629
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A14,TitForTat,Grudger,108,36,2,1.0,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A14,TitForTat,LLM,452,171,10,0.7368421052631579,2.6432748538011697
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A14,TitForTat,Pavlov,180,60,2,1.0,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A14,TitForTat,Random,70,35,2,0.45714285714285713,2.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A14,TitForTat,TitForTat,201,67,3,1.0,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A15,LLM,AlwaysDefect,1,1,1,0.0,1.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A15,LLM,Grudger,62,59,2,0.0847457627118644,1.0508474576271187
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A15,LLM,LLM,105,71,6,0.23943661971830985,1.4788732394366197
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A15,LLM,Pavlov,92,30,1,0.1,3.066666666666667
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A15,LLM,Random,27,14,2,0.21428571428571427,1.9285714285714286
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A15,LLM,TitForTat,217,80,3,0.7875,2.7125
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A16,Pavlov,AlwaysDefect,17,35,2,0.5142857142857142,0.4857142857142857
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A16,Pavlov,Grudger,147,49,2,1.0,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A16,Pavlov,LLM,85,108,5,0.5185185185185185,0.7870370370370371
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A16,Pavlov,Pavlov,45,15,1,1.0,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A16,Pavlov,Random,37,18,2,0.6111111111111112,2.0555555555555554
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A16,Pavlov,TitForTat,252,84,4,1.0,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A17,TitForTat,AlwaysDefect,29,31,2,0.06451612903225806,0.9354838709677419
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A17,TitForTat,Grudger,105,35,2,1.0,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A17,TitForTat,LLM,391,144,8,0.8125,2.7152777777777777
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A17,TitForTat,Pavlov,93,31,2,1.0,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A17,TitForTat,Random,107,47,2,0.5957446808510638,2.276595744680851
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A17,TitForTat,TitForTat,168,56,3,1.0,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A18,LLM,AlwaysDefect,45,48,2,0.0625,0.9375
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A18,LLM,Grudger,37,32,2,0.09375,1.15625
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A18,LLM,LLM,85,61,5,0.19672131147540983,1.3934426229508197
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A18,LLM,Pavlov,35,11,1,0.0,3.1818181818181817
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A18,LLM,Random,145,53,2,0.07547169811320754,2.7358490566037736
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A18,LLM,TitForTat,185,70,4,0.7428571428571429,2.642857142857143
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A19,AlwaysDefect,AlwaysDefect,7,7,1,0.0,1.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A19,AlwaysDefect,Grudger,53,45,2,0.0,1.1777777777777778
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A19,AlwaysDefect,LLM,316,248,10,0.0,1.2741935483870968
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A19,AlwaysDefect,Pavlov,114,38,2,0.0,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A19,AlwaysDefect,Random,50,14,2,0.0,3.5714285714285716
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A19,AlwaysDefect,TitForTat,94,78,4,0.0,1.205128205128205
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A20,LLM,AlwaysDefect,28,30,1,0.06666666666666667,0.9333333333333333
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A20,LLM,Grudger,32,27,2,0.1111111111111111,1.1851851851851851
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A20,LLM,LLM,99,56,6,0.3392857142857143,1.7678571428571428
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A20,LLM,Pavlov,42,14,2,0.14285714285714285,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A20,LLM,Random,40,17,2,0.23529411764705882,2.3529411764705883
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A20,LLM,TitForTat,185,68,3,0.7647058823529411,2.7205882352941178
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A21,LLM,AlwaysDefect,42,45,2,0.06666666666666667,0.9333333333333333
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A21,LLM,Grudger,15,12,1,0.08333333333333333,1.25
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A21,LLM,LLM,250,148,11,0.25675675675675674,1.6891891891891893
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A21,LLM,Pavlov,90,30,1,0.06666666666666667,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A21,LLM,Random,32,9,1,0.1111111111111111,3.5555555555555554
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A21,LLM,TitForTat,43,16,1,0.75,2.6875
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A22,TitForTat,AlwaysDefect,48,50,2,0.04,0.96
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A22,TitForTat,Grudger,108,36,2,1.0,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A22,TitForTat,LLM,381,142,7,0.7816901408450704,2.683098591549296
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A22,TitForTat,Pavlov,180,60,2,1.0,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A22,TitForTat,Random,120,52,2,0.5384615384615384,2.3076923076923075
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A22,TitForTat,TitForTat,201,67,3,1.0,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A23,Pavlov,AlwaysDefect,17,35,2,0.5142857142857142,0.4857142857142857
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A23,Pavlov,Grudger,24,8,2,1.0,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A23,Pavlov,LLM,222,267,11,0.5692883895131086,0.8314606741573034
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A23,Pavlov,Pavlov,45,15,1,1.0,3.0
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A23,Pavlov,Random,91,42,2,0.5476190476190477,2.1666666666666665
prereg,B1-absent-high-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,high,ahead,p1,A23,Pavlov,TitForTat,360,120,4,1.0,3.0
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,A00,LLM,AlwaysDefect,19,46,2,0.5869565217391305,0.41304347826086957
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,A00,LLM,Grudger,20,6,2,0.8333333333333334,3.3333333333333335
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,A00,LLM,LLM,510,203,11,0.7783251231527094,2.5123152709359604
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,A00,LLM,Pavlov,132,47,2,0.574468085106383,2.8085106382978724
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,A00,LLM,Random,72,37,2,0.6486486486486487,1.945945945945946
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,A00,LLM,TitForTat,138,65,4,0.4461538461538462,2.123076923076923
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,A01,Random,AlwaysDefect,25,46,2,0.45652173913043476,0.5434782608695652
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,A01,Random,Grudger,24,38,2,0.5789473684210527,0.631578947368421
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,A01,Random,LLM,445,201,12,0.5024875621890548,2.2139303482587063
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,A01,Random,Pavlov,90,39,2,0.48717948717948717,2.3076923076923075
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,A01,Random,Random,66,30,1,0.5,2.2
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,A01,Random,TitForTat,188,86,4,0.4418604651162791,2.186046511627907
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,A02,TitForTat,AlwaysDefect,13,15,2,0.13333333333333333,0.8666666666666667
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,A02,TitForTat,Grudger,105,35,2,1.0,3.0
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,A02,TitForTat,LLM,714,289,12,0.7370242214532872,2.4705882352941178
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,A02,TitForTat,Pavlov,114,38,2,1.0,3.0
prereg,B1-absent-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,absent,off,ahead,p1,A02,TitForTat,Random,138,60,2,0.5166666666666667,2.3
