dataset,sandbox,sandbox_model,condition,effort,score_state,paraphrase,seed,agent,seat_type,total_score,rounds,n_games,coop,score_per_round
prereg,B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,109,A01,TitForTat,1282,499,23,0.7835671342685371,2.5691382765531063
prereg,B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,109,A02,LLM,1191,478,23,0.6359832635983264,2.49163179916318
prereg,B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,109,A03,LLM,1187,487,23,0.6817248459958932,2.4373716632443534
prereg,B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,109,A04,LLM,1124,438,23,0.7785388127853882,2.5662100456621006
prereg,B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,109,A05,LLM,994,444,23,0.6216216216216216,2.2387387387387387
prereg,B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,109,A06,LLM,975,428,23,0.5841121495327103,2.27803738317757
prereg,B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,109,A07,Random,779,454,23,0.4955947136563877,1.7158590308370043
prereg,B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,109,A08,TitForTat,1277,504,23,0.7619047619047619,2.5337301587301586
prereg,B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,109,A09,Grudger,1234,504,23,0.623015873015873,2.4484126984126986
prereg,B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,109,A10,AlwaysDefect,851,471,23,0.0,1.8067940552016986
prereg,B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,109,A11,AlwaysDefect,902,482,23,0.0,1.8713692946058091
prereg,B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,109,A12,Pavlov,913,365,23,0.8547945205479452,2.5013698630136987
prereg,B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,109,A13,LLM,1005,416,23,0.6586538461538461,2.4158653846153846
prereg,B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,109,A14,LLM,1150,468,23,0.6794871794871795,2.4572649572649574
prereg,B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,109,A15,TitForTat,1191,449,23,0.8285077951002228,2.6525612472160356
prereg,B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,109,A16,Pavlov,1055,466,23,0.8047210300429185,2.263948497854077
prereg,B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,109,A17,LLM,1054,485,23,0.5731958762886598,2.1731958762886596
prereg,B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,109,A18,LLM,1083,438,23,0.636986301369863,2.4726027397260273
prereg,B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,109,A19,Grudger,1075,429,23,0.7202797202797203,2.5058275058275057
prereg,B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,109,A20,Random,842,506,23,0.5059288537549407,1.6640316205533596
prereg,B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,109,A21,TitForTat,1345,516,23,0.8003875968992248,2.606589147286822
prereg,B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,109,A22,LLM,1307,481,23,0.8191268191268192,2.7172557172557172
prereg,B1-forbidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,109,A23,LLM,1061,433,23,0.6212471131639723,2.4503464203233256
prereg,B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,110,A00,LLM,849,493,23,0.32454361054766734,1.7221095334685599
prereg,B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,110,A01,LLM,885,507,23,0.31952662721893493,1.7455621301775148
prereg,B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,110,A02,Random,742,431,23,0.4733178654292343,1.7215777262180973
prereg,B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,110,A03,LLM,791,406,23,0.3251231527093596,1.9482758620689655
prereg,B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,110,A04,Pavlov,864,413,23,0.7675544794188862,2.0920096852300243
prereg,B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,110,A05,Pavlov,989,467,23,0.7430406852248393,2.1177730192719486
prereg,B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,110,A06,LLM,956,485,23,0.38969072164948454,1.9711340206185568
prereg,B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,110,A07,Grudger,1107,529,23,0.44234404536862004,2.0926275992438566
prereg,B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,110,A08,LLM,843,461,23,0.3600867678958785,1.8286334056399132
prereg,B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,110,A09,TitForTat,1105,509,23,0.5834970530451866,2.1709233791748526
prereg,B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,110,A10,LLM,919,498,23,0.285140562248996,1.8453815261044177
prereg,B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,110,A11,LLM,960,498,23,0.3855421686746988,1.927710843373494
prereg,B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,110,A12,LLM,1121,497,23,0.5211267605633803,2.255533199195171
prereg,B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,110,A13,LLM,1026,511,23,0.36203522504892366,2.0078277886497067
prereg,B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,110,A14,AlwaysDefect,677,469,23,0.0,1.443496801705757
prereg,B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,110,A15,Random,684,419,23,0.49403341288782815,1.6324582338902147
prereg,B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,110,A16,LLM,753,403,23,0.29528535980148884,1.86848635235732
prereg,B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,110,A17,Grudger,1102,446,23,0.57847533632287,2.4708520179372195
prereg,B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,110,A18,LLM,750,421,23,0.3586698337292161,1.7814726840855106
prereg,B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,110,A19,TitForTat,1010,448,23,0.6316964285714286,2.2544642857142856
prereg,B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,110,A20,TitForTat,1238,537,23,0.6499068901303539,2.3054003724394785
prereg,B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,110,A21,LLM,800,445,23,0.37303370786516854,1.797752808988764
prereg,B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,110,A22,AlwaysDefect,667,427,23,0.0,1.5620608899297423
prereg,B1-forbidden-off-behind,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,110,A23,TitForTat,796,352,23,0.65625,2.2613636363636362
prereg,B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,116,A00,TitForTat,1148,442,23,0.7963800904977375,2.5972850678733033
prereg,B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,116,A01,LLM,1063,480,23,0.4708333333333333,2.214583333333333
prereg,B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,116,A02,LLM,1044,501,23,0.4031936127744511,2.0838323353293413
prereg,B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,116,A03,LLM,902,438,23,0.4680365296803653,2.0593607305936072
prereg,B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,116,A04,TitForTat,1260,464,23,0.8189655172413793,2.7155172413793105
prereg,B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,116,A05,LLM,993,460,23,0.5347826086956522,2.158695652173913
prereg,B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,116,A06,Pavlov,1107,459,23,0.8148148148148148,2.411764705882353
prereg,B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,116,A07,LLM,815,390,23,0.38461538461538464,2.08974358974359
prereg,B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,116,A08,LLM,1061,459,23,0.5272331154684096,2.3115468409586057
prereg,B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,116,A09,LLM,1259,537,23,0.5921787709497207,2.344506517690875
prereg,B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,116,A10,TitForTat,1276,487,23,0.784394250513347,2.620123203285421
prereg,B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,116,A11,Random,642,431,23,0.5127610208816705,1.4895591647331787
prereg,B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,116,A12,LLM,1044,459,23,0.44880174291938996,2.2745098039215685
prereg,B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,116,A13,Random,718,482,23,0.46680497925311204,1.4896265560165975
prereg,B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,116,A14,AlwaysDefect,651,439,23,0.0,1.4829157175398633
prereg,B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,116,A15,Grudger,1163,516,23,0.5038759689922481,2.253875968992248
prereg,B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,116,A16,TitForTat,1085,463,23,0.6371490280777538,2.3434125269978403
prereg,B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,116,A17,LLM,975,434,23,0.5506912442396313,2.2465437788018434
prereg,B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,116,A18,LLM,890,433,23,0.4064665127020785,2.0554272517321017
prereg,B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,116,A19,LLM,981,459,23,0.477124183006536,2.1372549019607843
prereg,B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,116,A20,LLM,928,450,23,0.45555555555555555,2.062222222222222
prereg,B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,116,A21,Grudger,990,441,23,0.5578231292517006,2.2448979591836733
prereg,B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,116,A22,AlwaysDefect,779,495,23,0.0,1.5737373737373737
prereg,B1-hidden-high-behind,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,116,A23,Pavlov,956,437,23,0.7757437070938215,2.1876430205949657
prereg,B1-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,113,A00,Random,639,405,23,0.5037037037037037,1.5777777777777777
prereg,B1-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,113,A01,AlwaysDefect,618,402,23,0.0,1.537313432835821
prereg,B1-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,113,A02,TitForTat,1137,444,23,0.7747747747747747,2.560810810810811
prereg,B1-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,113,A03,LLM,978,443,23,0.5801354401805869,2.2076749435665914
prereg,B1-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,113,A04,LLM,983,446,23,0.5358744394618834,2.204035874439462
prereg,B1-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,113,A05,LLM,1187,477,23,0.7358490566037735,2.488469601677149
prereg,B1-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,113,A06,LLM,1090,457,23,0.5951859956236324,2.385120350109409
prereg,B1-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,113,A07,Grudger,1099,427,23,0.7096018735362998,2.5737704918032787
prereg,B1-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,113,A08,AlwaysDefect,610,346,23,0.0,1.7630057803468209
prereg,B1-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,113,A09,LLM,905,383,23,0.5926892950391645,2.362924281984334
prereg,B1-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,113,A10,LLM,1114,490,23,0.6265306122448979,2.273469387755102
prereg,B1-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,113,A11,LLM,1012,414,23,0.5917874396135265,2.4444444444444446
prereg,B1-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,113,A12,LLM,1059,425,23,0.7129411764705882,2.491764705882353
prereg,B1-hidden-off-ahead,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,113,A13,Pavlov,1127,434,23,0.8963133640552995,2.596774193548387
