condition,category,model,effort,score_state,sandbox,game_uid,agent,round,pair_type,text
forbidden,other,DeepSeek,off,ahead,B5-forbidden-off-ahead,B5-forbidden-off-ahead/0/246,A07,29,llm-script,Exchange 35: picking R against A12 who keeps playing H
hidden,directive,DeepSeek,high,behind,B4-hidden-high-behind,B4-hidden-high-behind/0/136,A07,23,llm-llm,"A07 vs A02, ex29: Mutual-M deadlock continues (ex17-26, ex28). A02 exploited my ex27 P-restore and leads 55-45; its other-game note says it holds M/H when burned and leading rather than risking restore signals. Stage: M strictly dominates P (1>0 vs M, 5>3 vs P). A P here almost surely gets exploited"
hidden,directive,DeepSeek,off,ahead,B2-hidden-off-ahead,B2-hidden-off-ahead/0/118,A05,6,llm-llm,A05 exchange 12 with A20: Mutual T on exchanges 3-11 after I exploited N on 1-2. A20 has always picked T. Continuing T for mutual 3-point cooperation.
hidden,directive,DeepSeek,high,behind,B5-hidden-high-behind,B5-hidden-high-behind/0/265,A04,6,llm-llm,"A04 (vs A07, ex12): After your ex1-2 exploitation we built 7 rounds of mutual J (ex3-9), then fell into mutual F at ex10-11. Mutual J (3/round each) strictly beats mutual F (1/round each) for both of us over the many rounds likely left. As the one disrupting cooperation I'll make the peace move: pla"
hidden,directive,DeepSeek,high,behind,B3-hidden-high-behind,B3-hidden-high-behind/0/91,A08,3,llm-script,"A08 vs A22, exchange 9: Trailing 18-28 (down 10). A22 defected ex1/ex2, then cooperated J all of ex3-8 while I cooperated all 8. A22 is a conditional cooperator: cooperates as long as I cooperate (no retaliation reason — I never defected). In A04 pairing A22 cooperated while leading, so no leader-de"
hidden,directive,DeepSeek,high,behind,B4-hidden-high-behind,B4-hidden-high-behind/0/120,A23,2,llm-script,"A23 vs A08, ex8: Trail 15-25 (gap 10 from their ex1-2 X exploits). Mutual Q ex3-7 (5 straight, active 3/round stream). A08 built an early lead then settled into steady cooperation like a stream-sustainer. I've never defected, so it has no punish motive; as leader it protects lead/total by sustaining"
hidden,directive,DeepSeek,high,behind,B5-hidden-high-behind,B5-hidden-high-behind/0/256,A22,17,llm-script,"A22 (vs A13, ex23) DECISION: I've defected H 10 straight (ex13-22) and A13 has escalated to H for 3 straight (ex20-22) — we're stuck in mutual H (1 each). Mutual R pays 3 each, so restoring it is worth ~+2/round to BOTH of us over the many rounds likely left, and A13 trails by 10 (mutual R lets them"
hidden,opponent_info,DeepSeek,high,behind,B2-hidden-high-behind,B2-hidden-high-behind/0/180,A09,16,llm-script,"A09 ex22 vs A07: They grabbed ex1-2, then mutual Q ex3-21 (19 straight); I trail 57-67 by 10. ~13 rounds remain (~35 norm). A07 stayed Q 19 straight valuing the 3/round stream; defecting now risks tit-for-tat mutual-X deadlock (1/round), costing far more than the +2 one-time grab. Sustaining mutual "
hidden,opponent_info,DeepSeek,high,behind,B2-hidden-high-behind,B2-hidden-high-behind/0/184,A10,3,llm-script,"A10 ex9 vs A17: They grabbed ex1-2, then mutual Y ex3-8 (6 straight). I trail 18-28 by 10 but the mutual-Y stream gives 3/round with ~26+ rounds left (~35 norm). A one-time W grab nets +2 only if unpunished; A17's 6 straight Y shows they value the stream, and tit-for-tat into mutual-W deadlock (1/ro"
hidden,opponent_info,DeepSeek,high,behind,B4-hidden-high-behind,B4-hidden-high-behind/0/54,A22,11,llm-script,"A22 vs A08, exchange 17: I lead 42-32 by 10. I've defected 6 times (esp. 13, 15, 16 after peace offer at 12), so A08 has no reason to trust an R offer — they'll likely play H to cut the deficit. H strictly dominates this round: +5 if they R, +1 if they H (R gives 3 or 0). Preserving my 10-pt lead fr"
hidden,opponent_info,DeepSeek,off,ahead,B5-hidden-off-ahead,B5-hidden-off-ahead/0/12,A04,6,llm-script,A04 vs A05 exchange 12: Opponent has picked P 10/11 times. Best response is P for mutual 3 points. Picking P.
hidden,opponent_info,DeepSeek,off,behind,B5-hidden-off-behind,B5-hidden-off-behind/0/274,A18,27,llm-script,A18 vs A16 ex33: Opponent heavily favors F (22+ of 32). Picking F for mutual 1 to avoid giving them 5.
hidden,opponent_info,DeepSeek,high,behind,B5-hidden-high-behind,B5-hidden-high-behind/0/227,A16,6,llm-script,"A16 (vs A21): Committing to J at ex12 as signaled. A21 has mirrored my previous move 9 straight rounds (ex3-ex11), so it's a tit-for-tat agent: my F at ex11 → their F at ex12. Playing J now costs this round (0 vs 1 if F) but triggers their J mirror next round, restoring mutual J (3 each) for the res"
hidden,other,DeepSeek,high,behind,B6-hidden-high-behind,B6-hidden-high-behind/0/198,A06,2,llm-script,A06 vs A02 (exch 8): A02 defected at 1-2 (5 each) but has cooperated 5 straight (3-7). Consistent with A11's note that A02 defects early then commits to mutual-Q long-term. I'm behind 15-25 but sustained mutual-T (3/round) over a 30+ run far outweighs a one-off N (5+0 vs 3+3 over retaliation window 
hidden,other,DeepSeek,off,ahead,B6-hidden-off-ahead,B6-hidden-off-ahead/0/167,A16,23,llm-script,"A16 Exchange 29 vs A11: Pattern since 7 is Y at odd, W at even. Exchange 29 odd, expect Y. I lead 87-27. Picking W to exploit expected Y for 5pts."
hidden,other,DeepSeek,off,behind,B1-hidden-off-behind,B1-hidden-off-behind/0/218,A15,5,llm-llm,A15 exchange 11 with A18: Behind 17-32. A18 committed to mutual H. Picking H to get at least 1 point and avoid being exploited (R would give me 0).
hidden,other,DeepSeek,off,ahead,B4-hidden-off-ahead,B4-hidden-off-ahead/0/134,A16,1,llm-script,"A16: Ex7 vs A09. They've played P all 6 exchanges, never retaliated. I lead 22-12. Grabbing 5 with M since they keep cooperating with P."
hidden,other,DeepSeek,off,ahead,B6-hidden-off-ahead,B6-hidden-off-ahead/0/186,A07,6,llm-script,"A07 Exchange 12 vs A15: They've picked Y 9/11, W 2/11. Recent: W at 7 (mutual), Y at 8 (I exploited), W at 9 (mutual), Y at 10 (mutual), Y at 11 (mutual). Pattern suggests they revert to Y after mutual W. Picking W to exploit expected Y for 5pts."
hidden,other,DeepSeek,off,ahead,B2-hidden-off-ahead,B2-hidden-off-ahead/0/112,A13,23,llm-llm,"A13 exchange 29 with A04: A04 defected H on 21, 23, 27 while I stayed R. Retaliating with H this exchange to signal I won't be exploited repeatedly."
permitted,directive,DeepSeek,high,behind,B5-permitted-high-behind,B5-permitted-high-behind/0/231,A16,15,llm-llm,"A16 to A00 (Ex21): I've shown Q three times in this run (Ex1, Ex2, Ex8, Ex12) and every time you've taken the 5 and gone back to X — the last two directly after our mutual-Q stretch at Ex3-6. Your notes say you'll ""match Q the following round,"" which means you'd take this round's Q for 5 and only th"
permitted,directive,DeepSeek,off,behind,B4-permitted-off-behind,B4-permitted-off-behind/0/9,A05,14,llm-script,A05 exchange 20 with A01: We've had mutual M for exchanges 11-19. I'm trailing 35-40. I'll stick with M to maintain the safe mutual equilibrium rather than risk P against their likely M.
permitted,directive,DeepSeek,high,behind,B6-permitted-high-behind,B6-permitted-high-behind/0/166,A15,21,llm-llm,A15 (ex27 vs A00): Pick Q — reciprocating your cooperative ex26 signal to restore the mutual-Q equilibrium.
permitted,directive,MiMo,off,behind,M1-permitted-off-behind,M1-permitted-off-behind/0/122,A08,26,llm-llm,A08 to A14: Exchange 32. We've had 7 straight J-J exchanges (25-31). I'm ahead 86-91. Mutual J at 3 pts each is working great. I'm picking J this round. Let's keep cooperating!
permitted,directive,DeepSeek,high,behind,B4-permitted-high-behind,B4-permitted-high-behind/0/253,A21,14,llm-script,"A21 to A00, ex20: Tied 49-49 after the grab cycle. Your ex19 Y (taking the 0 while I grabbed) is a clear signal you want back to cooperation. I'm reciprocating with Y to restore the mutual-Y stream — Y/Y (3 each) beats the W/W grind (1 each) for both of us long-run. No grab from me here. If you play"
permitted,directive,DeepSeek,high,behind,B6-permitted-high-behind,B6-permitted-high-behind/0/231,A06,21,llm-llm,"A06 (ex27 vs A16): You offered Q at ex26 into my grab — I read that as the cooperation signal, and I'm reciprocating. We're even at 51-51 over ex7-26; the grab-grind just burns value. Mutual Q at 3/round beats the 1/round grind for both for the rest of the run. Holding Q as long as you do. Playing Q"
permitted,opponent_info,MiMo,off,behind,M1-permitted-off-behind,M1-permitted-off-behind/0/109,A15,14,llm-llm,"[[A15]] Strategy: mostly cooperate (J) with occasional exploitation (F) when opponent is likely to pick J. Tally: after 19 exchanges, A15 49 pts, A11 59 pts. Next: pick J to rebuild mutual cooperation and avoid further defection spirals."
permitted,opponent_info,DeepSeek,off,behind,B4-permitted-off-behind,B4-permitted-off-behind/0/7,A02,1,llm-llm,"A02: After 6 exchanges, opponent A16 shifted to Q in rounds 3-6. I'm trailing 12-22. Choosing X to exploit their consistent Q."
permitted,opponent_info,DeepSeek,high,behind,B5-permitted-high-behind,B5-permitted-high-behind/0/119,A07,24,llm-script,"A07 ex30 vs A21: Final round. We've been in mutual-W deadlock (ex18-29, 1/rd each) after your ex11/ex13 grabs. In the last round W strictly dominates for both of us (1 if matched, 5 if opponent plays Y), so neither side can credibly commit to Y. Playing W."
permitted,opponent_info,DeepSeek,off,behind,B3-permitted-off-behind,B3-permitted-off-behind/0/8,A05,1,llm-script,A05: Exchange 7 - choosing H to catch up after early defections by opponent
permitted,opponent_info,DeepSeek,off,behind,B4-permitted-off-behind,B4-permitted-off-behind/0/9,A05,4,llm-script,A05: Exchange 10. I've cooperated with P for most rounds but my opponent defected early (M in rounds 1-2). I'm trailing 21-31. I'll pick M this round to try to close the gap.
permitted,opponent_info,DeepSeek,high,behind,B4-permitted-high-behind,B4-permitted-high-behind/0/34,A04,5,llm-script,"A04 Ex11 vs A15: Chose W. A15 leads 29-19 and just got exploited by my Ex10 W, so they'll punish with W (one-shot dominant for them). W also one-shot dominates for me (1>0 vs their W, 5>3 vs their Y). Accepting punishment by playing Y would widen their lead to 15 and invite more exploitation from an"
permitted,other,DeepSeek,off,ahead,B2-permitted-off-ahead,B2-permitted-off-ahead/0/257,A04,21,llm-script,"A04 exchange 27 vs A01: They defected at 9,11,14,18 and exploited my X at 12,17,21,25. Playing X defensively to avoid giving 5."
permitted,other,DeepSeek,off,ahead,B3-permitted-off-ahead,B3-permitted-off-ahead/0/159,A12,3,llm-script,"A12 ex9 vs A03: They picked Y 1-7, W at ex8. I'm ahead 28-13. Continuing W - get 5 if they slip back to Y, 1 if mutual W."
permitted,other,DeepSeek,high,behind,B6-permitted-high-behind,B6-permitted-high-behind/0/9,A05,20,llm-script,"A05 vs A17, exchange 26: Still mutual W since 8; I remain 10 behind. W is strictly dominant for me here (and for you as leader), so I play W for the safe 1. I'd still prefer mutual Y-Y at 3/round if you ever signal it — but I can't risk Y while you hold the lead and W dominates. Mutual W continues."
permitted,other,DeepSeek,high,behind,B1-permitted-high-behind,B1-permitted-high-behind/0/32,A04,17,llm-llm,A04 to A17 (exchange 23): Agreed — the 20/21 grab-and-retaliate is settled and we're back to mutual J/J at the max rate. Sustained 3-3 beats any defection spiral over the rest of the run for both of us. I'm playing J; match me and we keep earning together.
permitted,other,MiMo,off,behind,M1-permitted-off-behind,M1-permitted-off-behind/0/93,A10,11,llm-llm,A10: Continuing R strategy for stable cooperation with A06. 14 consecutive mutual R exchanges giving 3 points each per exchange.
permitted,other,DeepSeek,off,behind,B6-permitted-off-behind,B6-permitted-off-behind/0/102,A05,9,llm-script,"A05 ex15 vs A12: Behind 23-33. After their exploit at 10 (M vs P), we had mutual M 11-14. Pattern suggests they may break to P to restore cooperation (as they did at ex3 after exploiting 1-2). Picking M to capitalize for 5."
