sandbox,dataset,model,condition,effort,opponent_mix,score_state,paraphrase,seed,generation,game,round,agent,pair_type,game_uid,attempt,from_final_attempt,move_status,game_complete,game_policy,text,category
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,43,7,A03,llm-llm,B1-forbidden-off-ahead/0/43,1,True,ok,True,completed games only,A03 exchange 13: picking P to match A23's frequent P plays.,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,24,10,A14,llm-llm,B1-forbidden-off-ahead/0/24,1,True,ok,True,completed games only,A14 exchange 16: picking H,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,24,11,A14,llm-llm,B1-forbidden-off-ahead/0/24,1,True,ok,True,completed games only,A14 exchange 17: opponent A05 picks R almost always. Best to keep picking H for 5 points.,opponent_info
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,24,29,A14,llm-llm,B1-forbidden-off-ahead/0/24,1,True,ok,True,completed games only,A14 exchange 35: opponent A05 has been cooperating (H) for many exchanges. I'll continue H to maintain mutual cooperation.,opponent_info
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,37,17,A23,llm-script,B1-forbidden-off-ahead/0/37,1,True,ok,True,completed games only,A23 exchange 23: picking X,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,53,25,A06,llm-script,B1-forbidden-off-ahead/0/53,1,True,ok,True,completed games only,A06 exchange 31: picking M,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,50,1,A04,llm-llm,B1-forbidden-off-ahead/0/50,1,True,ok,True,completed games only,A04 exchange 7: picking T to maintain cooperation with A06 who has been consistently picking T.,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,54,5,A17,llm-script,B1-forbidden-off-ahead/0/54,1,True,ok,True,completed games only,A17 exchange 11: pick M,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,64,1,A00,llm-llm,B1-forbidden-off-ahead/0/64,1,True,ok,True,completed games only,A00 exchange 7: picking P to maintain mutual cooperation with A06.,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,56,20,A02,llm-script,B1-forbidden-off-ahead/0/56,1,True,ok,True,completed games only,Exchange 26 decision: picking H,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,56,27,A02,llm-script,B1-forbidden-off-ahead/0/56,1,True,ok,True,completed games only,A02 exchange 33: picking R against A07 who has been defecting frequently.,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,56,30,A02,llm-script,B1-forbidden-off-ahead/0/56,1,True,ok,True,completed games only,A02 exchange 36 vs A07: picking R to protect against frequent defection.,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,76,6,A05,llm-script,B1-forbidden-off-ahead/0/76,1,True,ok,True,completed games only,A05 exchange 12: picking Y,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,86,1,A18,llm-script,B1-forbidden-off-ahead/0/86,1,True,ok,True,completed games only,A18 exchange 7 vs A12: picking T to maintain mutual cooperation.,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,81,1,A13,llm-script,B1-forbidden-off-ahead/0/81,1,True,ok,True,completed games only,A13 exchange 7 vs A09: picking P to maintain mutual cooperation.,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,55,6,A06,llm-script,B1-forbidden-off-ahead/0/55,1,True,ok,True,completed games only,Exchange 12: A06 picks P,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,87,1,A22,llm-script,B1-forbidden-off-ahead/0/87,1,True,ok,True,completed games only,A22 exchange 7: picking T to maintain mutual cooperation,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,100,23,A05,llm-script,B1-forbidden-off-ahead/0/100,1,True,ok,True,completed games only,A05 exchange 29: picking W against A09 who has been defecting.,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,109,7,A02,llm-script,B1-forbidden-off-ahead/0/109,1,True,ok,True,completed games only,A02 exchange 13: continuing mutual M cooperation with A10.,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,107,2,A18,llm-script,B1-forbidden-off-ahead/0/107,1,True,ok,True,completed games only,A18 exchange 8 vs A07: picking M,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,107,6,A18,llm-script,B1-forbidden-off-ahead/0/107,1,True,ok,True,completed games only,A18 exchange 12: choosing P,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,107,14,A18,llm-script,B1-forbidden-off-ahead/0/107,1,True,ok,True,completed games only,A18 exchange 20: picking P,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,107,16,A18,llm-script,B1-forbidden-off-ahead/0/107,1,True,ok,True,completed games only,A18 exchange 22 vs A07: picking M to counter their recent defections.,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,107,22,A18,llm-script,B1-forbidden-off-ahead/0/107,1,True,ok,True,completed games only,A18 exchange 28: pick M,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,118,7,A17,llm-llm,B1-forbidden-off-ahead/0/118,1,True,ok,True,completed games only,A17 exchange 13: choosing N to counter A18's recent defections.,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,117,3,A05,llm-script,B1-forbidden-off-ahead/0/117,1,True,ok,True,completed games only,A05 exchange 9 pick: W,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,117,8,A05,llm-script,B1-forbidden-off-ahead/0/117,1,True,ok,True,completed games only,A05 exchange 14: picking W to maintain stable mutual W equilibrium.,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,124,6,A22,llm-script,B1-forbidden-off-ahead/0/124,1,True,ok,True,completed games only,A22 exchange 12: picking F to retaliate against A20's repeated defections,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,124,7,A22,llm-script,B1-forbidden-off-ahead/0/124,1,True,ok,True,completed games only,A22 exchange 13: pick F,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,131,13,A05,llm-script,B1-forbidden-off-ahead/0/131,1,True,ok,True,completed games only,Exchange 19 decision: picking M,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,119,1,A13,llm-llm,B1-forbidden-off-ahead/0/119,1,True,ok,True,completed games only,A13 exchange 7 decision,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,119,30,A13,llm-llm,B1-forbidden-off-ahead/0/119,1,True,ok,True,completed games only,A13 exchange 36: pick H,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,134,3,A22,llm-script,B1-forbidden-off-ahead/0/134,1,True,ok,True,completed games only,A22 exchange 9 vs A11: picking Q to return to mutual cooperation,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,134,6,A22,llm-script,B1-forbidden-off-ahead/0/134,1,True,ok,True,completed games only,A22 exchange 12 vs A11: picking X to maintain mutual X equilibrium given their recent defections,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,134,12,A22,llm-script,B1-forbidden-off-ahead/0/134,1,True,ok,True,completed games only,Exchange 18 pick: X,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,135,12,A18,llm-script,B1-forbidden-off-ahead/0/135,1,True,ok,True,completed games only,A18 exchange 18: choosing W to maintain mutual cooperation with A11,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,135,13,A18,llm-script,B1-forbidden-off-ahead/0/135,1,True,ok,True,completed games only,A18 exchange 19: choosing W to maintain mutual W equilibrium with A11.,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,139,6,A22,llm-script,B1-forbidden-off-ahead/0/139,1,True,ok,True,completed games only,A22 exchange 12: picking X in response to repeated defections by A10,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,133,9,A02,llm-script,B1-forbidden-off-ahead/0/133,1,True,ok,True,completed games only,A02 exchange 15: picked Q,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,133,23,A02,llm-script,B1-forbidden-off-ahead/0/133,1,True,ok,True,completed games only,A02 exchange 29: picking X,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,136,3,A17,llm-script,B1-forbidden-off-ahead/0/136,1,True,ok,True,completed games only,A17 exchange 9: picking X to exploit A21's consistent Q strategy,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,154,11,A14,llm-script,B1-forbidden-off-ahead/0/154,1,True,ok,True,completed games only,A14 exchange 17: pick T,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,148,5,A17,llm-script,B1-forbidden-off-ahead/0/148,2,True,ok,True,completed games only,A17 exchange 11 vs A15: picking H to exploit their consistent R strategy.,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,166,11,A22,llm-llm,B1-forbidden-off-ahead/0/166,1,True,ok,True,completed games only,A22 exchange 17 vs A13: picking J to maintain mutual cooperation,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,172,1,A14,llm-script,B1-forbidden-off-ahead/0/172,1,True,ok,True,completed games only,A14 exchange 7 vs A07: picking P to maintain mutual cooperation,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,170,16,A05,llm-script,B1-forbidden-off-ahead/0/170,1,True,ok,True,completed games only,A05 exchange 22: picking M,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,129,4,A13,llm-llm,B1-forbidden-off-ahead/0/129,1,True,ok,True,completed games only,A13 exchange 10: picked X,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,129,12,A13,llm-llm,B1-forbidden-off-ahead/0/129,1,True,ok,True,completed games only,A13 exchange 18 vs A23: picking X to counter their repeated defections,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,129,24,A13,llm-llm,B1-forbidden-off-ahead/0/129,1,True,ok,True,completed games only,A13 exchange 30,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,129,27,A23,llm-llm,B1-forbidden-off-ahead/0/129,1,True,ok,True,completed games only,A23 exchange 33: picking X,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,171,2,A18,llm-script,B1-forbidden-off-ahead/0/171,1,True,ok,True,completed games only,A18 exchange 8: picking W,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,171,7,A18,llm-script,B1-forbidden-off-ahead/0/171,1,True,ok,True,completed games only,A18 exchange 13: pick W,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,169,2,A17,llm-script,B1-forbidden-off-ahead/0/169,1,True,ok,True,completed games only,A17 exchange 8 vs A10: picking X to retaliate against their exchange 7 defection.,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,180,1,A22,llm-llm,B1-forbidden-off-ahead/0/180,1,True,ok,True,completed games only,A22 exchange 7 vs A05: picking R to maintain mutual R cooperation,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,187,13,A06,llm-script,B1-forbidden-off-ahead/0/187,1,True,ok,True,completed games only,A06 exchange 19: picking X,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,187,15,A06,llm-script,B1-forbidden-off-ahead/0/187,1,True,ok,True,completed games only,A06 exchange 21: picking X to maintain mutual X equilibrium with A21,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,199,3,A22,llm-script,B1-forbidden-off-ahead/0/199,1,True,ok,True,completed games only,A22 exchange 9 vs A07: picking X to retaliate against their exchanges 7-8 defections,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,212,8,A06,llm-script,B1-forbidden-off-ahead/0/212,1,True,ok,True,completed games only,A06 exchange 14 vs A11: picking H to retaliate against their repeated H defections.,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,183,2,A00,llm-script,B1-forbidden-off-ahead/0/183,1,True,ok,True,completed games only,A00 exchange 8 vs A20: picking H to retaliate against their exchange 7 defection,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,183,22,A00,llm-script,B1-forbidden-off-ahead/0/183,1,True,ok,True,completed games only,Exchange 28: A00 picks H,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,158,2,A17,llm-llm,B1-forbidden-off-ahead/0/158,1,True,ok,True,completed games only,A17 exchange 8 vs A00: picking N to retaliate against their exchange 7 defection.,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,158,14,A17,llm-llm,B1-forbidden-off-ahead/0/158,1,True,ok,True,completed games only,A17 exchange 20 vs A00: picking N to maintain mutual cooperation,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,158,29,A17,llm-llm,B1-forbidden-off-ahead/0/158,1,True,ok,True,completed games only,A17 exchange 35: picking T to maintain mutual cooperation with A00.,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,158,7,A00,llm-llm,B1-forbidden-off-ahead/0/158,1,True,ok,True,completed games only,A00 exchange 13 vs A17: picking N to match their recent N choices,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,158,14,A00,llm-llm,B1-forbidden-off-ahead/0/158,1,True,ok,True,completed games only,A00 exchange 20 vs A17: picking T,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,226,1,A22,llm-script,B1-forbidden-off-ahead/0/226,1,True,ok,True,completed games only,A22 exchange 7 vs A15: picking R to maintain mutual R cooperation,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,221,5,A23,llm-script,B1-forbidden-off-ahead/0/221,1,True,ok,True,completed games only,A23 exchange 11: picking Q to rebuild cooperation,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,208,6,A06,llm-script,B1-forbidden-off-ahead/0/208,1,True,ok,True,completed games only,Exchange 12: picking T,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,207,4,A04,llm-llm,B1-forbidden-off-ahead/0/207,1,True,ok,True,completed games only,A04 exchange 10: played X,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,207,16,A04,llm-llm,B1-forbidden-off-ahead/0/207,1,True,ok,True,completed games only,A04 exchange 22: picked X,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,207,4,A17,llm-llm,B1-forbidden-off-ahead/0/207,1,True,ok,True,completed games only,A17 exchange 10 vs A04: picking X,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,207,5,A17,llm-llm,B1-forbidden-off-ahead/0/207,1,True,ok,True,completed games only,A17 exchange 11: picking Q,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,207,7,A17,llm-llm,B1-forbidden-off-ahead/0/207,1,True,ok,True,completed games only,A17 exchange 13: pick X,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,225,16,A05,llm-script,B1-forbidden-off-ahead/0/225,1,True,ok,True,completed games only,A05 exchange 22 pick: H,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,219,22,A18,llm-script,B1-forbidden-off-ahead/0/219,1,True,ok,True,completed games only,A18 exchange 28: picking X,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,230,12,A00,llm-script,B1-forbidden-off-ahead/0/230,1,True,ok,True,completed games only,A00 exchange 18: picking F,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,204,2,A06,llm-llm,B1-forbidden-off-ahead/0/204,1,True,ok,True,completed games only,A06 exchange 8 vs A23: picking Q to maintain mutual cooperation,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,204,29,A06,llm-llm,B1-forbidden-off-ahead/0/204,1,True,ok,True,completed games only,Exchange 35 against A23: picking X,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,236,6,A23,llm-llm,B1-forbidden-off-ahead/0/236,1,True,ok,True,completed games only,A23 exchange 12: picking H,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,242,15,A18,llm-script,B1-forbidden-off-ahead/0/242,1,True,ok,True,completed games only,A18 exchange 21: picking X,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,252,13,A13,llm-llm,B1-forbidden-off-ahead/0/252,1,True,ok,True,completed games only,A13 exchange 19: picking M to maintain mutual cooperation,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,253,21,A03,llm-script,B1-forbidden-off-ahead/0/253,1,True,ok,True,completed games only,A03 exchange 27: picking M,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,232,23,A03,llm-llm,B1-forbidden-off-ahead/0/232,1,True,ok,True,completed games only,A03 exchange 29 pick: W,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,232,30,A03,llm-llm,B1-forbidden-off-ahead/0/232,1,True,ok,True,completed games only,Exchange 36: A03 picks W,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,238,21,A00,llm-script,B1-forbidden-off-ahead/0/238,1,True,ok,True,completed games only,A00 exchange 27 vs A07: picking R,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,257,5,A23,llm-script,B1-forbidden-off-ahead/0/257,1,True,ok,True,completed games only,Exchange 11: I pick X,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,257,7,A23,llm-script,B1-forbidden-off-ahead/0/257,1,True,ok,True,completed games only,A23 exchange 13: picking X,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,270,3,A13,llm-llm,B1-forbidden-off-ahead/0/270,1,True,ok,True,completed games only,A13 exchange 9 vs A06: picking T to maintain mutual cooperation,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,275,19,A23,llm-script,B1-forbidden-off-ahead/0/275,1,True,ok,True,completed games only,A23 exchange 25 pick: X,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,272,4,A06,llm-llm,B1-forbidden-off-ahead/0/272,1,True,ok,True,completed games only,A06 exchange 10 vs A02: picking H after they defected twice,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,272,23,A06,llm-llm,B1-forbidden-off-ahead/0/272,1,True,ok,True,completed games only,A06 exchange 29 pick: H,other
B1-forbidden-off-ahead,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,win,ahead,p1,109,0,272,12,A02,llm-llm,B1-forbidden-off-ahead/0/272,1,True,ok,True,completed games only,A02 exchange 18: picking H,other
B1-forbidden-off-behind,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,lose,behind,p1,110,0,6,4,A12,llm-script,B1-forbidden-off-behind/0/6,1,True,ok,True,completed games only,A12 exchange 10: picking T,other
B1-forbidden-off-behind,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,lose,behind,p1,110,0,11,7,A01,llm-script,B1-forbidden-off-behind/0/11,1,True,ok,True,completed games only,Exchange 13: I pick X.,other
B1-forbidden-off-behind,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,lose,behind,p1,110,0,2,7,A08,llm-llm,B1-forbidden-off-behind/0/2,1,True,ok,True,completed games only,A08 exchange 13 pick: W,other
B1-forbidden-off-behind,prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,lose,behind,p1,110,0,3,8,A11,llm-script,B1-forbidden-off-behind/0/3,1,True,ok,True,completed games only,A11 exchange 14: picking T,other
