model,base_sandbox,condition,score_state,paraphrase,sandbox_768,sandbox_4096,complete_768,complete_4096,games_768,games_4096,rate_observed_768,rate_observed_4096,rate_completed_768,rate_completed_4096,abort_rate_768,abort_rate_4096,coop_completed_768,coop_completed_4096,posts_completed_768,posts_completed_4096,abort_cause_768,abort_cause_4096
deepseek-ai/DeepSeek-V4-Flash-0731,B4-hidden-off-behind,hidden,behind,p2,B4-hidden-off-behind,B4-hidden-off-behind-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.04285714285714286,0.009523809523809525,0.25692196081773716,0.2725568077682108,1230,1484,"ambiguous x7, length_truncated x2",ambiguous x2
deepseek-ai/DeepSeek-V4-Flash-0731,B4-permitted-off-ahead,permitted,ahead,p2,B4-permitted-off-ahead,B4-permitted-off-ahead-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.08571428571428572,0.10476190476190476,0.4801218613088595,0.6912029371751582,1242,829,"ambiguous x17, length_truncated x1",ambiguous x22
deepseek-ai/DeepSeek-V4-Flash-0731,B4-permitted-off-behind,permitted,behind,p2,B4-permitted-off-behind,B4-permitted-off-behind-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.07142857142857142,0.023809523809523808,0.45363030663014386,0.250794192158122,1244,1613,"length_truncated x11, ambiguous x4",ambiguous x5
deepseek-ai/DeepSeek-V4-Flash-0731,B5-hidden-off-ahead,hidden,ahead,p3,B5-hidden-off-ahead,B5-hidden-off-ahead-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.22380952380952382,0.014285714285714285,0.2949012548735228,0.27101372247794425,815,1288,"length_truncated x46, ambiguous x1","length_truncated x2, ambiguous x1"
deepseek-ai/DeepSeek-V4-Flash-0731,B5-hidden-off-behind,hidden,behind,p3,B5-hidden-off-behind,B5-hidden-off-behind-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.3238095238095238,0.023809523809523808,0.24037948151621696,0.19190765096878273,622,1243,"length_truncated x66, ambiguous x2","ambiguous x4, length_truncated x1"
deepseek-ai/DeepSeek-V4-Flash-0731,B5-permitted-off-ahead,permitted,ahead,p3,B5-permitted-off-ahead,B5-permitted-off-ahead-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.2523809523809524,0.004761904761904762,0.30369317554449976,0.28110640893053673,903,1489,length_truncated x53,ambiguous x1
deepseek-ai/DeepSeek-V4-Flash-0731,B5-permitted-off-behind,permitted,behind,p3,B5-permitted-off-behind,B5-permitted-off-behind-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.4142857142857143,0.02857142857142857,0.17615304082447308,0.2039871091204857,603,1660,length_truncated x87,"ambiguous x3, length_truncated x2, refusal x1"
deepseek-ai/DeepSeek-V4-Flash-0731,B6-hidden-off-ahead,hidden,ahead,p3,B6-hidden-off-ahead,B6-hidden-off-ahead-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.22380952380952382,0.01904761904761905,0.27904071213613163,0.33490970460458985,754,1155,"length_truncated x45, ambiguous x2",ambiguous x4
deepseek-ai/DeepSeek-V4-Flash-0731,B6-hidden-off-behind,hidden,behind,p3,B6-hidden-off-behind,B6-hidden-off-behind-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.3476190476190476,0.009523809523809525,0.16485414389071035,0.20141091830922123,488,985,length_truncated x73,"ambiguous x1, length_truncated x1"
deepseek-ai/DeepSeek-V4-Flash-0731,B6-permitted-off-ahead,permitted,ahead,p3,B6-permitted-off-ahead,B6-permitted-off-ahead-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.2714285714285714,0.004761904761904762,0.2689168608746541,0.26879540137702806,756,1665,length_truncated x57,ambiguous x1
deepseek-ai/DeepSeek-V4-Flash-0731,B6-permitted-off-behind,permitted,behind,p3,B6-permitted-off-behind,B6-permitted-off-behind-a4096,True,True,210,210,1.0,1.0,1.0,1.0,0.4714285714285714,0.01904761904761905,0.18085084809290783,0.2236852563315515,518,1416,length_truncated x99,"length_truncated x2, ambiguous x2"
