dataset,model,condition,effort,score_state,paraphrase,sandbox,n_sandboxes,unique_games,observed_games,completed_games,aborted_games,aborted_games_with_board_attempt,unobserved_provider_error,provider_error_censored,aborted_before_first_decision,abort_rate,aborting_decisions_model,aborting_decisions_provider,abort_cause_mix_model,abort_cause_mix_provider,rate_observed,rate_keep_all,rate_completed,rate_difference,bound_lower,bound_upper,bound_width,board_calls_lost_by_retry,sandboxes_incomplete
replication,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p1,B1-permitted-off-ahead-a4096,1,210,210,207,3,3,0,0,0,0.014285714285714285,3,0,ambiguous x3,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p1,B2-permitted-off-ahead-a4096,1,210,210,209,1,1,0,0,0,0.004761904761904762,1,0,ambiguous x1,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p2,B3-permitted-off-ahead-a4096,1,210,210,197,13,13,0,0,0,0.06190476190476191,13,0,ambiguous x13,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,7,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p2,B4-permitted-off-ahead-a4096,1,210,210,188,22,22,0,0,0,0.10476190476190476,22,0,ambiguous x22,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,19,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p3,B5-permitted-off-ahead-a4096,1,210,210,209,1,1,0,0,0,0.004761904761904762,1,0,ambiguous x1,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,ahead,p3,B6-permitted-off-ahead-a4096,1,210,210,209,1,1,0,0,0,0.004761904761904762,1,0,ambiguous x1,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p1,B1-permitted-off-behind-a4096,1,210,210,210,0,0,0,0,0,0.0,0,0,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p1,B2-permitted-off-behind-a4096,1,210,210,209,1,1,0,0,0,0.004761904761904762,1,0,ambiguous x1,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p2,B3-permitted-off-behind-a4096,1,210,210,203,7,7,0,0,0,0.03333333333333333,7,0,ambiguous x7,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p2,B4-permitted-off-behind-a4096,1,210,210,205,5,5,0,0,0,0.023809523809523808,5,0,ambiguous x5,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,5,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p3,B5-permitted-off-behind-a4096,1,210,210,204,6,6,0,0,0,0.02857142857142857,6,0,"ambiguous x3, length_truncated x2, refusal x1",,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,off,behind,p3,B6-permitted-off-behind-a4096,1,210,210,206,4,4,0,0,0,0.01904761904761905,4,0,"length_truncated x2, ambiguous x2",,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,behind,p1,B1-permitted-high-behind,1,210,210,207,3,3,0,3,0,0.014285714285714285,0,3,,provider_error x3,0.9714285714285714,0.9714285714285714,0.9710144927536232,0.00041407867494824835,0.9714285714285714,0.9714285714285714,0.0,5,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,behind,p1,B2-permitted-high-behind,1,210,210,210,0,0,0,0,0,0.0,0,0,,,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.0,0.9714285714285714,0.9714285714285714,0.0,0,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,behind,p2,B3-permitted-high-behind,1,210,210,209,1,1,0,0,0,0.004761904761904762,1,0,length_truncated x1,,0.9904761904761905,0.9904761904761905,0.9904306220095693,4.556846662118197e-05,0.9904761904761905,0.9904761904761905,0.0,5,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,behind,p2,B4-permitted-high-behind,1,210,210,209,1,1,0,0,0,0.004761904761904762,1,0,length_truncated x1,,0.9952380952380953,0.9952380952380953,0.9952153110047847,2.2784233310590984e-05,0.9952380952380953,0.9952380952380953,0.0,5,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,behind,p3,B5-permitted-high-behind,1,210,210,209,1,1,0,0,0,0.004761904761904762,1,0,length_truncated x1,,0.9904761904761905,0.9904761904761905,0.9904306220095693,4.556846662118197e-05,0.9904761904761905,0.9904761904761905,0.0,5,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,permitted,high,behind,p3,B6-permitted-high-behind,1,210,210,209,1,1,0,0,0,0.004761904761904762,1,0,length_truncated x1,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,0
prereg,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,ahead,p1,M1-forbidden-off-ahead,1,210,210,209,1,1,0,0,0,0.004761904761904762,1,0,ambiguous x1,,0.9523809523809523,0.9523809523809523,0.9521531100478469,0.00022784233310546576,0.9523809523809523,0.9523809523809523,0.0,3,0
prereg,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,ahead,p1,M2-forbidden-off-ahead,1,210,210,210,0,0,0,0,0,0.0,0,0,,,0.919047619047619,0.919047619047619,0.919047619047619,0.0,0.919047619047619,0.919047619047619,0.0,0,0
prereg,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,ahead,p2,M3-forbidden-off-ahead,1,210,210,208,2,1,0,0,0,0.009523809523809525,2,0,"ambiguous x1, length_truncated x1",,0.8809523809523809,0.8809523809523809,0.8846153846153846,-0.00366300366300365,0.8809523809523809,0.8857142857142857,0.004761904761904762,5,0
prereg,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,ahead,p2,M4-forbidden-off-ahead,1,210,210,205,5,5,0,0,0,0.023809523809523808,5,0,"ambiguous x4, no_action_token x1",,0.8857142857142857,0.8857142857142857,0.8829268292682927,0.0027874564459929863,0.8857142857142857,0.8857142857142857,0.0,5,0
prereg,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,ahead,p3,M5-forbidden-off-ahead,1,210,210,209,1,1,0,0,0,0.004761904761904762,1,0,ambiguous x1,,0.8857142857142857,0.8857142857142857,0.8851674641148325,0.0005468215994531844,0.8857142857142857,0.8857142857142857,0.0,7,0
prereg,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,ahead,p3,M6-forbidden-off-ahead,1,210,210,207,3,2,0,0,0,0.014285714285714285,3,0,ambiguous x3,,0.8904761904761904,0.8904761904761904,0.893719806763285,-0.003243616287094575,0.8904761904761904,0.8952380952380953,0.004761904761904762,3,0
prereg,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,behind,p1,M1-forbidden-off-behind,1,210,210,210,0,0,0,0,0,0.0,0,0,,,0.9476190476190476,0.9476190476190476,0.9476190476190476,0.0,0.9476190476190476,0.9476190476190476,0.0,1,0
prereg,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,behind,p1,M2-forbidden-off-behind,1,210,210,210,0,0,0,0,0,0.0,0,0,,,0.9571428571428572,0.9571428571428572,0.9571428571428572,0.0,0.9571428571428572,0.9571428571428572,0.0,5,0
prereg,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,behind,p2,M3-forbidden-off-behind,1,210,210,210,0,0,0,0,0,0.0,0,0,,,0.9476190476190476,0.9476190476190476,0.9476190476190476,0.0,0.9476190476190476,0.9476190476190476,0.0,5,0
prereg,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,behind,p2,M4-forbidden-off-behind,1,210,210,210,0,0,0,0,0,0.0,0,0,,,0.8714285714285714,0.8714285714285714,0.8714285714285714,0.0,0.8714285714285714,0.8714285714285714,0.0,3,0
prereg,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,behind,p3,M5-forbidden-off-behind,1,210,210,209,1,1,0,0,0,0.004761904761904762,1,0,ambiguous x1,,0.919047619047619,0.919047619047619,0.9186602870813397,0.0003873319662792696,0.919047619047619,0.919047619047619,0.0,5,0
prereg,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,behind,p3,M6-forbidden-off-behind,1,210,210,209,1,1,0,0,0,0.004761904761904762,1,0,ambiguous x1,,0.9238095238095239,0.9238095238095239,0.9234449760765551,0.0003645477329687896,0.9238095238095239,0.9238095238095239,0.0,2,0
prereg,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,behind,p4,Y1-forbidden-off-behind-p4,1,210,210,210,0,0,0,0,0,0.0,0,0,,,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.0,0.5666666666666667,0.5666666666666667,0.0,0,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,B1-forbidden-off-ahead,1,210,210,210,0,0,0,0,0,0.0,0,0,,,0.5952380952380952,0.5952380952380952,0.5952380952380952,0.0,0.5952380952380952,0.5952380952380952,0.0,2,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,B2-forbidden-off-ahead,1,210,210,210,0,0,0,0,0,0.0,0,0,,,0.6095238095238096,0.6095238095238096,0.6095238095238096,0.0,0.6095238095238096,0.6095238095238096,0.0,1,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p2,B3-forbidden-off-ahead,1,210,210,209,1,1,0,0,0,0.004761904761904762,1,0,ambiguous x1,,0.6761904761904762,0.6761904761904762,0.6746411483253588,0.0015493278651174114,0.6761904761904762,0.6761904761904762,0.0,2,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p2,B4-forbidden-off-ahead,1,210,210,209,1,1,0,0,0,0.004761904761904762,1,0,length_truncated x1,,0.6666666666666666,0.6666666666666666,0.6650717703349283,0.0015948963317383713,0.6666666666666666,0.6666666666666666,0.0,6,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p3,B5-forbidden-off-ahead,1,210,210,206,4,4,0,0,0,0.01904761904761905,4,0,length_truncated x4,,0.9380952380952381,0.9380952380952381,0.9368932038834952,0.0012020342117429195,0.9380952380952381,0.9380952380952381,0.0,34,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p3,B6-forbidden-off-ahead,1,210,210,201,9,9,0,0,0,0.04285714285714286,9,0,length_truncated x9,,0.9571428571428572,0.9571428571428572,0.9552238805970149,0.001918976545842277,0.9571428571428572,0.9571428571428572,0.0,23,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,B1-forbidden-off-behind,1,210,210,209,1,1,0,0,0,0.004761904761904762,1,0,length_truncated x1,,0.8142857142857143,0.8142857142857143,0.8133971291866029,0.0008885850991113831,0.8142857142857143,0.8142857142857143,0.0,3,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,B2-forbidden-off-behind,1,210,210,210,0,0,0,0,0,0.0,0,0,,,0.8,0.8,0.8,0.0,0.8,0.8,0.0,2,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p2,B3-forbidden-off-behind,1,210,210,209,1,1,0,0,0,0.004761904761904762,1,0,length_truncated x1,,0.8285714285714286,0.8285714285714286,0.8277511961722488,0.0008202323991798322,0.8285714285714286,0.8285714285714286,0.0,6,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p2,B4-forbidden-off-behind,1,210,210,210,0,0,0,0,0,0.0,0,0,,,0.7476190476190476,0.7476190476190476,0.7476190476190476,0.0,0.7476190476190476,0.7476190476190476,0.0,13,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p3,B5-forbidden-off-behind,1,210,210,207,3,3,0,0,0,0.014285714285714285,3,0,length_truncated x3,,0.9476190476190476,0.9476190476190476,0.9468599033816425,0.000759144237405085,0.9476190476190476,0.9476190476190476,0.0,34,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p3,B6-forbidden-off-behind,1,210,210,207,3,3,0,0,0,0.014285714285714285,3,0,length_truncated x3,,0.9666666666666667,0.9666666666666667,0.966183574879227,0.0004830917874396601,0.9666666666666667,0.9666666666666667,0.0,29,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p4,X1-forbidden-off-behind-p4,1,210,210,209,1,1,0,0,0,0.004761904761904762,1,0,ambiguous x1,,0.6333333333333333,0.6333333333333333,0.631578947368421,0.0017543859649122862,0.6333333333333333,0.6333333333333333,0.0,5,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,B1-forbidden-high-behind,1,210,210,210,0,0,0,0,0,0.0,0,0,,,0.01904761904761905,0.01904761904761905,0.01904761904761905,0.0,0.01904761904761905,0.01904761904761905,0.0,0,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,B2-forbidden-high-behind,1,210,210,210,0,0,0,0,0,0.0,0,0,,,0.01904761904761905,0.01904761904761905,0.01904761904761905,0.0,0.01904761904761905,0.01904761904761905,0.0,0,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p2,B3-forbidden-high-behind,1,210,210,210,0,0,0,0,0,0.0,0,0,,,0.02857142857142857,0.02857142857142857,0.02857142857142857,0.0,0.02857142857142857,0.02857142857142857,0.0,0,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p2,B4-forbidden-high-behind,1,210,210,210,0,0,0,0,0,0.0,0,0,,,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.0,0.014285714285714285,0.014285714285714285,0.0,0,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p3,B5-forbidden-high-behind,1,210,210,210,0,0,0,0,0,0.0,0,0,,,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.0,0,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p3,B6-forbidden-high-behind,1,210,210,210,0,0,0,0,0,0.0,0,0,,,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.0,0.11428571428571428,0.11428571428571428,0.0,0,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,B1-hidden-off-ahead,1,210,210,198,12,12,0,0,0,0.05714285714285714,12,0,ambiguous x12,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,17,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,B2-hidden-off-ahead,1,210,210,200,10,10,0,0,0,0.047619047619047616,10,0,"ambiguous x9, no_action_token x1",,1.0,1.0,1.0,0.0,1.0,1.0,0.0,11,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p2,B3-hidden-off-ahead,1,210,210,196,14,14,0,0,0,0.06666666666666667,14,0,"ambiguous x7, length_truncated x7",,1.0,1.0,1.0,0.0,1.0,1.0,0.0,15,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p2,B4-hidden-off-ahead,1,210,210,189,21,21,0,0,0,0.1,21,0,"length_truncated x11, ambiguous x10",,1.0,1.0,1.0,0.0,1.0,1.0,0.0,12,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p3,B5-hidden-off-ahead,1,210,210,163,47,47,0,0,0,0.22380952380952382,47,0,"length_truncated x46, ambiguous x1",,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p3,B6-hidden-off-ahead,1,210,210,163,47,47,0,0,0,0.22380952380952382,47,0,"length_truncated x45, ambiguous x2",,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p1,B1-hidden-off-behind,1,210,210,204,6,6,0,0,0,0.02857142857142857,6,0,ambiguous x6,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,6,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p1,B2-hidden-off-behind,1,210,210,209,1,1,0,0,0,0.004761904761904762,1,0,ambiguous x1,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,14,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p2,B3-hidden-off-behind,1,210,210,178,32,32,0,0,0,0.1523809523809524,32,0,"length_truncated x29, ambiguous x3",,1.0,1.0,1.0,0.0,1.0,1.0,0.0,5,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p2,B4-hidden-off-behind,1,210,210,201,9,9,0,0,0,0.04285714285714286,9,0,"ambiguous x7, length_truncated x2",,1.0,1.0,1.0,0.0,1.0,1.0,0.0,7,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p3,B5-hidden-off-behind,1,210,210,142,68,68,0,0,0,0.3238095238095238,68,0,"length_truncated x66, ambiguous x2",,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p3,B6-hidden-off-behind,1,210,210,137,73,73,0,0,0,0.3476190476190476,73,0,length_truncated x73,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,B1-hidden-off-ahead-a4096,1,210,210,199,11,11,0,0,0,0.05238095238095238,11,0,ambiguous x11,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,17,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,B2-hidden-off-ahead-a4096,1,210,210,203,7,7,0,0,0,0.03333333333333333,7,0,ambiguous x7,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,14,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p2,B3-hidden-off-ahead-a4096,1,210,210,206,4,4,0,0,0,0.01904761904761905,4,0,ambiguous x4,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,9,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p2,B4-hidden-off-ahead-a4096,1,210,210,206,4,4,0,0,0,0.01904761904761905,4,0,ambiguous x4,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,8,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p3,B5-hidden-off-ahead-a4096,1,210,210,207,3,3,0,0,0,0.014285714285714285,3,0,"length_truncated x2, ambiguous x1",,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p3,B6-hidden-off-ahead-a4096,1,210,210,206,4,4,0,0,0,0.01904761904761905,4,0,ambiguous x4,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p1,B1-hidden-off-behind-a4096,1,210,210,209,1,1,0,0,0,0.004761904761904762,1,0,ambiguous x1,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,4,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p1,B2-hidden-off-behind-a4096,1,210,210,206,4,4,0,0,0,0.01904761904761905,4,0,ambiguous x4,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,7,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p2,B3-hidden-off-behind-a4096,1,210,210,207,3,3,0,0,0,0.014285714285714285,3,0,ambiguous x3,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,5,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p2,B4-hidden-off-behind-a4096,1,210,210,208,2,2,0,0,0,0.009523809523809525,2,0,ambiguous x2,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,8,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p3,B5-hidden-off-behind-a4096,1,210,210,205,5,5,0,0,0,0.023809523809523808,5,0,"ambiguous x4, length_truncated x1",,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p3,B6-hidden-off-behind-a4096,1,210,210,208,2,2,0,0,0,0.009523809523809525,2,0,"ambiguous x1, length_truncated x1",,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,B1-hidden-high-behind,1,210,210,206,4,4,0,2,0,0.01904761904761905,2,2,length_truncated x2,provider_error x2,0.9714285714285714,0.9714285714285714,0.970873786407767,0.0005547850208044158,0.9714285714285714,0.9714285714285714,0.0,12,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,B2-hidden-high-behind,1,210,210,208,2,1,0,1,0,0.009523809523809525,1,1,length_truncated x1,provider_error x1,0.919047619047619,0.919047619047619,0.9230769230769231,-0.004029304029304126,0.919047619047619,0.9238095238095239,0.004761904761904762,9,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p2,B3-hidden-high-behind,1,210,209,201,9,8,1,7,1,0.04285714285714286,1,8,length_truncated x1,provider_error x8,0.9521531100478469,0.9476190476190476,0.9502487562189055,-0.002629708599857894,0.9521531100478469,0.9521531100478469,0.0,12,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p2,B4-hidden-high-behind,1,210,210,209,1,1,0,0,0,0.004761904761904762,1,0,length_truncated x1,,0.9714285714285714,0.9714285714285714,0.9712918660287081,0.00013670539986332386,0.9714285714285714,0.9714285714285714,0.0,11,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p3,B5-hidden-high-behind,1,210,210,209,1,1,0,0,0,0.004761904761904762,1,0,length_truncated x1,,0.9714285714285714,0.9714285714285714,0.9712918660287081,0.00013670539986332386,0.9714285714285714,0.9714285714285714,0.0,9,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p3,B6-hidden-high-behind,1,210,210,209,1,1,0,0,0,0.004761904761904762,1,0,length_truncated x1,,0.9523809523809523,0.9523809523809523,0.9521531100478469,0.00022784233310546576,0.9523809523809523,0.9523809523809523,0.0,7,0
