dataset,model,condition,effort,score_state,paraphrase,n_sandboxes,unique_games,observed_games,completed_games,aborted_games,aborted_games_with_board_attempt,unobserved_provider_error,provider_error_censored,aborted_before_first_decision,abort_rate,aborting_decisions_model,aborting_decisions_provider,abort_cause_mix_model,abort_cause_mix_provider,rate_observed,rate_keep_all,rate_completed,rate_difference,bound_lower,bound_upper,bound_width,board_calls_lost_by_retry,sandboxes_incomplete
prereg,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,behind,p3,2,420,420,418,2,2,0,0,0,0.004761904761904762,2,0,ambiguous x2,,0.9214285714285714,0.9214285714285714,0.9210526315789473,0.0003759398496240296,0.9214285714285714,0.9214285714285714,0.0,7,0
prereg,XiaomiMiMo/MiMo-V2.5-Pro,forbidden,off,behind,p4,1,210,210,210,0,0,0,0,0,0.0,0,0,,,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.0,0.5666666666666667,0.5666666666666667,0.0,0,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p1,2,420,420,420,0,0,0,0,0,0.0,0,0,,,0.6023809523809524,0.6023809523809524,0.6023809523809524,0.0,0.6023809523809524,0.6023809523809524,0.0,3,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p2,2,420,420,418,2,2,0,0,0,0.004761904761904762,2,0,"ambiguous x1, length_truncated x1",,0.6714285714285714,0.6714285714285714,0.6698564593301436,0.0015721120984277803,0.6714285714285714,0.6714285714285714,0.0,8,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,ahead,p3,2,420,420,407,13,13,0,0,0,0.030952380952380953,13,0,length_truncated x13,,0.9476190476190476,0.9476190476190476,0.9459459459459459,0.0016731016731016402,0.9476190476190476,0.9476190476190476,0.0,57,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p1,2,420,420,419,1,1,0,0,0,0.002380952380952381,1,0,length_truncated x1,,0.8071428571428572,0.8071428571428572,0.8066825775656324,0.00046027957722472035,0.8071428571428572,0.8071428571428572,0.0,5,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p2,2,420,420,419,1,1,0,0,0,0.002380952380952381,1,0,length_truncated x1,,0.7880952380952381,0.7880952380952381,0.7875894988066826,0.0005057392885554624,0.7880952380952381,0.7880952380952381,0.0,19,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p3,2,420,420,414,6,6,0,0,0,0.014285714285714285,6,0,length_truncated x6,,0.9571428571428572,0.9571428571428572,0.9565217391304348,0.0006211180124223725,0.9571428571428572,0.9571428571428572,0.0,63,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,off,behind,p4,1,210,210,209,1,1,0,0,0,0.004761904761904762,1,0,ambiguous x1,,0.6333333333333333,0.6333333333333333,0.631578947368421,0.0017543859649122862,0.6333333333333333,0.6333333333333333,0.0,5,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p1,2,420,420,420,0,0,0,0,0,0.0,0,0,,,0.01904761904761905,0.01904761904761905,0.01904761904761905,0.0,0.01904761904761905,0.01904761904761905,0.0,0,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p2,2,420,420,420,0,0,0,0,0,0.0,0,0,,,0.02142857142857143,0.02142857142857143,0.02142857142857143,0.0,0.02142857142857143,0.02142857142857143,0.0,0,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,forbidden,high,behind,p3,2,420,420,420,0,0,0,0,0,0.0,0,0,,,0.09285714285714286,0.09285714285714286,0.09285714285714286,0.0,0.09285714285714286,0.09285714285714286,0.0,0,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,2,420,420,398,22,22,0,0,0,0.05238095238095238,22,0,"ambiguous x21, no_action_token x1",,1.0,1.0,1.0,0.0,1.0,1.0,0.0,28,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p2,2,420,420,385,35,35,0,0,0,0.08333333333333333,35,0,"length_truncated x18, ambiguous x17",,1.0,1.0,1.0,0.0,1.0,1.0,0.0,27,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p3,2,420,420,326,94,94,0,0,0,0.22380952380952382,94,0,"length_truncated x91, ambiguous x3",,1.0,1.0,1.0,0.0,1.0,1.0,0.0,4,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p1,2,420,420,413,7,7,0,0,0,0.016666666666666666,7,0,ambiguous x7,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,20,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p2,2,420,420,379,41,41,0,0,0,0.09761904761904762,41,0,"length_truncated x31, ambiguous x10",,1.0,1.0,1.0,0.0,1.0,1.0,0.0,12,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p3,2,420,420,279,141,141,0,0,0,0.3357142857142857,141,0,"length_truncated x139, ambiguous x2",,1.0,1.0,1.0,0.0,1.0,1.0,0.0,3,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p1,2,420,420,402,18,18,0,0,0,0.04285714285714286,18,0,ambiguous x18,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,31,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p2,2,420,420,412,8,8,0,0,0,0.01904761904761905,8,0,ambiguous x8,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,17,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,ahead,p3,2,420,420,413,7,7,0,0,0,0.016666666666666666,7,0,"ambiguous x5, length_truncated x2",,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p1,2,420,420,415,5,5,0,0,0,0.011904761904761904,5,0,ambiguous x5,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,11,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p2,2,420,420,415,5,5,0,0,0,0.011904761904761904,5,0,ambiguous x5,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,13,0
replication,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,off,behind,p3,2,420,420,413,7,7,0,0,0,0.016666666666666666,7,0,"ambiguous x5, length_truncated x2",,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p1,2,420,420,414,6,5,0,3,0,0.014285714285714285,3,3,length_truncated x3,provider_error x3,0.9452380952380952,0.9452380952380952,0.9468599033816425,-0.0016218081435472875,0.9452380952380952,0.9476190476190476,0.002380952380952381,21,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p2,2,420,419,410,10,9,1,7,1,0.023809523809523808,2,8,length_truncated x2,provider_error x8,0.9618138424821002,0.9595238095238096,0.9609756097560975,-0.0014518002322879697,0.9618138424821002,0.9618138424821002,0.0,23,0
prereg,deepseek-ai/DeepSeek-V4-Flash-0731,hidden,high,behind,p3,2,420,420,418,2,2,0,0,0,0.004761904761904762,2,0,length_truncated x2,,0.9619047619047619,0.9619047619047619,0.9617224880382775,0.0001822738664843948,0.9619047619047619,0.9619047619047619,0.0,16,0
